Название;Производитель;Содержание;Количество на складе;Цена;Ссылка;Ссылка на изображение
Релиф суппозитории ректальные 12 шт;БАЙЕР, ИталияФенилэфрин;Фенилэфрин;None;624 ₽;https://366.ru/p/relif-supp-rekt-12-42066/;https://media.366.ru/sys_master/product/hbe/h65/9190447382558.png
Терафлекс хондрокрем форте крем 100 г;БАЙЕР, РоссияМелоксикам Хондроитина сульфат;Мелоксикам;None;680 ₽;https://366.ru/p/teraflekskhondrokremfortekrem100g-203729/;https://media.366.ru/sys_master/product/h27/ha2/9176607064094.png
Кальцемин Адванс таблетки 60 шт;БАЙЕР, Соединенные Штаты АмерикиПоливитамины + Минералы;Поливитамины + Минералы;None;836 ₽;https://366.ru/p/kalcemin-advans-tab-p-o-60-44598/;https://media.366.ru/sys_master/product/h92/h66/8818325684254.jpg
Тридерм крем 15 г;БАЙЕР, БельгияГентамицин Клотримазол Бетаметазон;Гентамицин;None;959 ₽;https://366.ru/p/triderm-krem-d-naruzh-prim-15g-10331/;https://media.366.ru/sys_master/product/hd6/h1d/9175743201310.png
Бепантен мазь 5% 100 г;БАЙЕР, ГерманияДекспантенол;Декспантенол;None;937 ₽;https://366.ru/p/bepanten-maz-d-naruzh-prim-5-100g-40080/;https://media.366.ru/sys_master/product/hb2/hce/9190446465054.png
Эриус таблетки 5 мг 10 шт;БАЙЕР, БельгияДезлоратадин;Дезлоратадин;None;800 ₽;https://366.ru/p/erius-tab-p-pl-ob-5mg-10-16158/;https://media.366.ru/sys_master/product/h6f/h54/9190438207518.png
ТераФлю порошок для приготовления раствора лимон 10 шт;GlaxoSmith Kline Healthcare, ФранцияФенирамин Аскорбиновая кислота Фенилэфрин Парацетамол;Фенирамин;None;532 ₽;https://366.ru/p/teraflju-por-10-limon-29538/;https://media.366.ru/sys_master/product/h3f/h30/9115767013406.png
Бифиформ капсулы 30 шт;Пфайзер+, ДанияЭнтерококкус фециум Бифидобактерии;Энтерококкус фециум;None;545 ₽;https://366.ru/p/bifiform-kaps-kishechnorastv-30-2562/;https://media.366.ru/sys_master/product/h90/h34/9917837213726.jpg
Отривин Ментол + Эвкалипт спрей 0,1% 10 мл;GlaxoSmith Kline Healthcare, ШвейцарияКсилометазолин;Ксилометазолин;None;221 ₽;https://366.ru/p/otrivin-naz-sprej-0-1-10ml-ment-evkal-17210/;https://media.366.ru/sys_master/product/h62/h03/9711538569246.jpg
Бепантен Плюс крем 30 г;БАЙЕР, ГерманияДекспантенол + Хлоргексидин;Декспантенол + Хлоргексидин;None;603 ₽;https://366.ru/p/bepanten-pljus-krem-d-naruzh-prim-30g-23270/;https://media.366.ru/sys_master/product/h8b/h0c/9190443253790.png
Терафлекс капсулы 60 шт;БАЙЕР, Соединенные Штаты АмерикиГлюкозамин + Хондроитина сульфат;Глюкозамин + Хондроитина сульфат;None;1 744 ₽;https://366.ru/p/terafleks-kaps-60-10039/;https://media.366.ru/sys_master/product/h45/h97/9205587902494.png
Терафлекс капсулы 100 шт;БАЙЕР, Соединенные Штаты АмерикиГлюкозамин + Хондроитина сульфат;Глюкозамин + Хондроитина сульфат;None;2 533 ₽;https://366.ru/p/terafleks-kaps-100-21574/;https://media.366.ru/sys_master/product/h9b/h54/9190440960030.png
Бепантен крем 5% 50 г;БАЙЕР, ГерманияДекспантенол;Декспантенол;None;715 ₽;https://366.ru/p/bepanten-krem-d-naruzh-prim-5-50g-63683/;https://media.366.ru/sys_master/product/h1a/h1a/9190455246878.png
Африн спрей назальный увлажняющий 15 мл;БАЙЕР, КанадаОксиметазолин;Оксиметазолин;None;367 ₽;https://366.ru/p/afrin-uvlazhn-sprej-naz-0-05-15ml-42243/;https://media.366.ru/sys_master/product/hfd/hc6/9190449217566.png
Терафлекс Адванс капсулы 60 шт;БАЙЕР, Соединенные Штаты АмерикиГлюкозамин + Ибупрофен + Хондроитина сульфат;Глюкозамин + Ибупрофен + Хондроитина сульфат;None;1 947 ₽;https://366.ru/p/terafleks-advans-kaps-60-58338/;https://media.366.ru/sys_master/product/ha1/h1b/9190451970078.png
