Название;Производитель;Содержание;Количество на складе;Цена;Ссылка;Ссылка на изображение
ТераФлю порошок для приготовления раствора лимон 10 шт;GlaxoSmith Kline Healthcare, ФранцияФенирамин Аскорбиновая кислота Фенилэфрин Парацетамол;Фенирамин;None;531 ₽;https://366.ru/p/teraflju-por-10-limon-29538/;https://media.366.ru/sys_master/product/h3f/h30/9115767013406.png
Отривин Ментол + Эвкалипт спрей 0,1% 10 мл;GlaxoSmith Kline Healthcare, ШвейцарияКсилометазолин;Ксилометазолин;None;221 ₽;https://366.ru/p/otrivin-naz-sprej-0-1-10ml-ment-evkal-17210/;https://media.366.ru/sys_master/product/h62/h03/9711538569246.jpg
Африн Экстро спрей назальный 0,05% 15 мл;БАЙЕР, КанадаОксиметазолин;Оксиметазолин;None;385 ₽;https://366.ru/p/afrin-ekstro-sprej-naz-0-05-15ml-42242/;https://media.366.ru/sys_master/product/heb/h39/9190448758814.png
Супрадин Иммуно Форте саше 14 шт;БАЙЕР, Италия;None;None;568 ₽;https://366.ru/p/supradin-immuno-forte-sashe-14-198310/;https://media.366.ru/sys_master/product/hd7/h33/9933691158558.jpg
Африн спрей назальный 0,05% 15 мл;БАЙЕР, КанадаОксиметазолин;Оксиметазолин;None;311 ₽;https://366.ru/p/afrin-sprej-naz-0-05-15ml-42240/;https://media.366.ru/sys_master/product/h7e/h9d/9190448300062.png
Африн спрей назальный увлажняющий 15 мл;БАЙЕР, КанадаОксиметазолин;Оксиметазолин;None;361 ₽;https://366.ru/p/afrin-uvlazhn-sprej-naz-0-05-15ml-42243/;https://media.366.ru/sys_master/product/hfd/hc6/9190449217566.png
АнтиГриппин таблетки шипучие малина 10 шт;ВАЛЕАНТ, ПольшаПарацетамол + Хлорфенамин + Аскорбиновая кислота;Парацетамол + Хлорфенамин + Аскорбиновая кислота;None;451 ₽;https://366.ru/p/antigrippin-ship-tab-10-malina-35871/;https://media.366.ru/sys_master/product/ha0/hd2/10036428308510.jpg
Антифлу кидс порошок 5 шт;БАЙЕР, Соединенные Штаты АмерикиПарацетамол + Хлорфенамин + Аскорбиновая кислота;Парацетамол + Хлорфенамин + Аскорбиновая кислота;None;348 ₽;https://366.ru/p/antiflu-kids-por-d-prig-rra-5-42788/;https://media.366.ru/sys_master/product/h14/hbb/8817802903582.jpg
Люголя раствор с глицерином 25 мл;ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияЙод + [Калия йодид+Глицерол];Йод + [Калия йодид+Глицерол];None;20 ₽;https://366.ru/p/ljugolja-rr-s-glicerinom-25g-38394/;https://media.366.ru/sys_master/product/h06/h02/8820197949470.jpg
Люголя раствор с глицерином с насадкой-распылителем 50 мл;ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияЙод + [Калия йодид+Глицерол];Йод + [Калия йодид+Глицерол];None;130 ₽;https://366.ru/p/ljugolja-rr-s-glicerinom-50g-s-raspylit-44700/;https://media.366.ru/sys_master/product/h65/hdb/8816818094110.jpg
Прополис настойка 25 мл;ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияПрополис;Прополис;None;81 ₽;https://366.ru/p/propolisa-nka-25ml-8647/;https://media.366.ru/sys_master/product/h22/h09/8817348083742.jpg
Солодки сироп 100мл;ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияСолодки корни;Солодки корни;None;43 ₽;https://366.ru/p/solodkovogo-kornja-sirop-100g-9491/;https://media.366.ru/sys_master/product/ha0/h72/8821259534366.jpg
Оксолиновая мазь 0,25% 10 г;ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияОксолиновая кислота;Оксолиновая кислота;None;72 ₽;https://366.ru/p/oksolin-maz-nazalnaja-0-25-10g-45198/;https://media.366.ru/sys_master/product/h0e/h60/8816838443038.jpg
Смесь для ингаляций раствор 40 мл;ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияЭвкалипта прутовидного листьев настойка + [Левоментол/Рацементол];Эвкалипта прутовидного листьев настойка + [Левоментол/Рацементол];None;31 ₽;https://366.ru/p/smes-d-ingaljacii-40ml-9457/;https://media.366.ru/sys_master/product/hf9/hfc/8819713736734.jpg
Вита Верде календулацветки фильтр пакетики 1,5 г 20 шт;Грин Сайд, Россия;None;None;81 ₽;https://366.ru/p/vita-verde-kalendula-cvet-f-p-1-5g20-211288/;https://media.366.ru/sys_master/product/h0d/h5b/9900781764638.png
Микстура от кашля сухая для детей порошок 1,47 г;ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияАлтея лекарственного корней экстракт+Аммония хлорид+Аниса обыкновенного семян масло+Натрия бензоат+Натрия гидрокарбонат+Солодки корней экстракт;Алтея лекарственного корней экстракт+Аммония хлорид+Аниса обыкновенного семян масло+Натрия бензоат+Натрия гидрокарбонат+Солодки корней экстракт;None;10 ₽;https://366.ru/p/mikstura-sukhaja-ot-kashlja-d-d-por-1-47g-9873/;https://media.366.ru/sys_master/product/hc0/h1b/8820933558302.jpg
Грудной эликсир раствор для приема внутрь 25 мл;ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияАммиак + Аниса обыкновенного семян масло + Солодки корней экстракт;Аммиак + Аниса обыкновенного семян масло + Солодки корней экстракт;None;29 ₽;https://366.ru/p/grudnoj-eliksir-25ml-26265/;https://media.366.ru/sys_master/product/h60/hb4/8818791612446.jpg
Микстура от кашля сухая для взрослых порошок 1,7г;ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияАлтея лекарственного корней экстракт+Аммония хлорид+Аниса обыкновенного семян масло+Натрия бензоат+Натрия гидрокарбонат+Солодки корней экстракт;Алтея лекарственного корней экстракт+Аммония хлорид+Аниса обыкновенного семян масло+Натрия бензоат+Натрия гидрокарбонат+Солодки корней экстракт;None;11,50 ₽;https://366.ru/p/mikstura-sukhaja-ot-kashlja-d-vzr-por-1-7g-9870/;https://media.366.ru/sys_master/product/h63/h8c/8820932542494.jpg
Арепливир таблетки 200 мг 40 шт;БИОХИМИК, РоссияФавипиравир;Фавипиравир;None;5 275 ₽;https://366.ru/p/areplivir-tabl-p-p-o-200mg-40-210873/;https://media.366.ru/sys_master/product/hfb/h59/9901720895518.jpg
Эхинацея настойка 50 мл;ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияЭхинацеи узколистной настойка;Эхинацеи узколистной настойка;None;178 ₽;https://366.ru/p/ekhinacejagalenofarm-nka-50ml-11942/;https://media.366.ru/sys_master/product/h8d/h86/8817401528350.jpg
Валцикон таблетки 500 мг 10 шт;ВЕРТЕКС, РоссияВалацикловир;Валацикловир;None;768 ₽;https://366.ru/p/valcikonverte-tab-p-pl-ob-500mg-10-42474/;https://media.366.ru/sys_master/product/h28/h0a/8816653664286.jpg
