Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Гинепристон таблетки 10 мг 1 шт,"Обнинская химико-фармацевтическая компания, РоссияМифепристон",Мифепристон,None,561 ₽,https://366.ru/p/ginepriston-tab-10mg-1-32710/,https://media.366.ru/sys_master/product/h3d/h97/10057641263134.png
Экофуцин суппозитории вагинальные 100 мг 6 шт,"АВВА РУС, РоссияНатамицин",Натамицин,None,458 ₽,https://366.ru/p/ekofucin-supp-vag-100mg-6-60266/,https://media.366.ru/sys_master/product/h5b/h73/9600394756126.jpg
Экофуцин суппозитории вагинальные 100 мг 3 шт,"АВВА РУС, РоссияНатамицин",Натамицин,None,243 ₽,https://366.ru/p/ekofucin-supp-vag-100mg-3-60267/,https://media.366.ru/sys_master/product/h95/h07/9600394100766.jpg
Суперлимф суппозитории вагинально-ректальные 25 ед 10 шт,"АЛЬТФАРМ, Россия",None,None,1 741 ₽,https://366.ru/p/superlimf-supp-rekt-vag-25ed-10-64050/,https://media.366.ru/sys_master/product/h2f/hf4/8829993287710.jpg
Ацилакт суппозитории вагинальные 10 шт,"ФЕРМЕНТ, РоссияЛактобактерии ацидофильные",Лактобактерии ацидофильные,None,424 ₽,https://366.ru/p/acilakt-supp-vag-10-2145/,https://media.366.ru/sys_master/product/h5b/h3d/8818182094878.jpg
Эльжина таблетки вагинальные 9 шт,"ВЕРТЕКС, РоссияОрнидазол + Неомицин + Преднизолон + Эконазол",Орнидазол + Неомицин + Преднизолон + Эконазол,None,645 ₽,https://366.ru/p/elzhina-tab-vag-9-58165/,https://media.366.ru/sys_master/product/haa/h47/8817990828062.jpg
Эльжина таблетки вагинальные 6 шт,"ВЕРТЕКС, РоссияОрнидазол + Неомицин + Преднизолон + Эконазол",Орнидазол + Неомицин + Преднизолон + Эконазол,None,514 ₽,https://366.ru/p/elzhina-tab-vag-6-58164/,https://media.366.ru/sys_master/product/h51/hec/8826634960926.jpg
Марвелон таблетки 63 шт,"МСД ФАРМАСЬЮТИКАЛС, НидерландыДезогестрел + Этинилэстрадиол",Дезогестрел + Этинилэстрадиол,None,3 946 ₽,https://366.ru/p/marvelon-tab-150mkg-30mkg-21kh3-19359/,https://media.366.ru/sys_master/product/h2f/h71/8820885815326.jpg
Ацилакт суппозитории вагинальные 10 шт,"ФЕРМЕНТ, РоссияЛактобактерии ацидофильные",Лактобактерии ацидофильные,None,413 ₽,https://366.ru/p/acilakt-supp-vag-10-2143/,https://media.366.ru/sys_master/product/h5f/ha2/8901419565086.jpg
Бетадин суппозитории вагинальные 14 шт,"ЭГИС, ВенгрияПовидон-йод",Повидон-йод,None,704 ₽,https://366.ru/p/betadin-supp-vag-200mg-14-2352/,https://media.366.ru/sys_master/product/h59/h70/9935798337566.jpg
"Бромокриптин таблетки 2,5 мг 30 шт","Гедеон Рихтер, ВенгрияБромокриптин",Бромокриптин,None,390 ₽,https://366.ru/p/bromokriptinrikhter-tab-2-5mg-30-2707/,https://media.366.ru/sys_master/product/hed/h34/8818117869598.jpg
Гиналгин таблетки вагинальные N10,"МЕДА ФАРМА, ПольшаМетронидазол",Метронидазол,None,521 ₽,https://366.ru/p/ginalgin-tab-vag-10-3547/,https://media.366.ru/sys_master/product/hda/h97/8825841582110.jpg
Гинипрал раствор 5 мкг/мл 2 мл ампулы 5 шт,"ТАКЕДА ФАРМАСЬЮТИКАЛС, АвстрияГексопреналин",Гексопреналин,None,280 ₽,https://366.ru/p/ginipral-rr-v-v-5mkg-ml-2ml-amp-5-3550/,https://media.366.ru/sys_master/product/he8/h3b/8818528223262.jpg
Далацин крем вагинальный 2% 20 г,"Пфайзер+, Соединенные Штаты АмерикиКлиндамицин",Клиндамицин,None,951 ₽,https://366.ru/p/dalacin-vag-krem-2-20g-applik-3-3826/,https://media.366.ru/sys_master/product/hf6/hdc/8822722920478.jpg
Далацин суппозитории вагинальные 100 мг 3 шт,"Пфайзер+, Соединенные Штаты АмерикиКлиндамицин",Клиндамицин,None,950 ₽,https://366.ru/p/dalacin-supp-vag-100mg-3-applik-3825/,https://media.366.ru/sys_master/product/h79/h59/8825970753566.jpg
Йодоксид суппозитории вагинальные 10 шт,"НИЖФАРМ, РоссияПовидон-йод",Повидон-йод,None,472 ₽,https://366.ru/p/jodoksid-supp-vag-200mg-10-4694/,https://media.366.ru/sys_master/product/hce/hb0/10057693954078.png
"Кандид в6 таблетки вагинальные с аппликатором 0,1 6 шт","Glenmark Pharmaceuticals, ИндияКлотримазол",Клотримазол,None,67 ₽,https://366.ru/p/kandidv6-tab-vag-100mg-6-4849/,https://media.366.ru/sys_master/product/ha0/hd4/8816909254686.jpg
Климаксан гомеопатический гранулы 10 г,"МАТЕРИА МЕДИКА, РоссияГранулы Cimicifuga racemosa (Цимицифуга рацемоза) С200, Apis (Апис) С200, Lachesis (Лахезис) С51","Гранулы Cimicifuga racemosa (Цимицифуга рацемоза) С200, Apis (Апис) С200, Lachesis (Лахезис) С51",None,153 ₽,https://366.ru/p/klimaksan-gran-gomeop-10g-5095/,https://media.366.ru/sys_master/product/h13/h5c/8818111217694.jpg
Климадинон капли 50 мл,"Bionorica, ГерманияЦимицифуги даурской корневища с корнями",Цимицифуги даурской корневища с корнями,None,612 ₽,https://366.ru/p/klimadinon-kapli-50ml-5093/,https://media.366.ru/sys_master/product/h0e/h41/9667010986014.png
Клиндацин крем вагинальный 2% 20 г,"АКРИХИН, РоссияКлиндамицин",Клиндамицин,None,590 ₽,https://366.ru/p/klindacin-krem-vaginalnyj-2-20g-5106/,https://media.366.ru/sys_master/product/h79/h3e/8817913626654.jpg
Климонорм драже 21 шт,"АЛВОГЕН, ГерманияЛевоноргестрел + Эстрадиол",Левоноргестрел + Эстрадиол,None,1 302 ₽,https://366.ru/p/klimonorm-dr-21-5103/,https://media.366.ru/sys_master/product/h4e/h07/8818254118942.jpg
Клостилбегит таблетки 10 шт,"ЭГИС, ВенгрияКломифен",Кломифен,None,680 ₽,https://366.ru/p/klostilbegit-tab-50mg-10-5118/,https://media.366.ru/sys_master/product/h80/h13/9935829270558.jpg
Клотримазол таблетки вагинальные 100 мг 6 шт,"АКРИХИН, РоссияКлотримазол",Клотримазол,None,44 ₽,https://366.ru/p/klotrimazolakrikhin-tab-vag-100mg-6-5119/,https://media.366.ru/sys_master/product/hc8/h5d/8826464862238.jpg
Ливиал таблетки 28 шт,"МСД ФАРМАСЬЮТИКАЛС, НидерландыТиболон",Тиболон,None,2 883 ₽,https://366.ru/p/livial-tab-2-5mg-28-5886/,https://media.366.ru/sys_master/product/h38/h74/8818152734750.jpg
