Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Систейн капли глазные 15 мл,"Alcon Laboratories, Испания",None,None,702 ₽,https://366.ru/p/sistejn-kapli-gl-15ml-srvo-oftalm-39077/,https://media.366.ru/sys_master/product/h98/h12/8816477175838.jpg
Опти-фри раствор для контактных линз экспресс 355 мл,"Alcon Laboratories, Соединенные Штаты Америки",None,None,479 ₽,https://366.ru/p/optifri-ekspress-rastvor-d-kont-l-355ml-16132/,https://media.366.ru/sys_master/product/h1f/h37/9239356047390.jpg
Опти-Фри раствор для контактных линз Реплениш 300 мл,"Alcon Laboratories, Соединенные Штаты Америки",None,None,478 ₽,https://366.ru/p/optifri-replenish-rastvor-d-kont-l-300ml-36050/,https://media.366.ru/sys_master/product/h1f/hcd/9232352346142.jpg
Систейн Ультра капли глазные 15 мл,"Alcon Laboratories, ИспанияСорбитол",Сорбитол,None,668 ₽,https://366.ru/p/sistejn-ultra-kap-gl-15ml-srvo-oft-39076/,https://media.366.ru/sys_master/product/hd8/h31/9239357423646.jpg
Опти-фри раствор для контактных линз Экспресс 120 мл,"Alcon Laboratories, Соединенные Штаты Америки",None,None,303 ₽,https://366.ru/p/optifri-ekspress-rastvor-d-kont-l-120ml-13862/,https://media.366.ru/sys_master/product/hfc/h93/9239359324190.jpg
Систейн Ультра средство офтальмологическое 3 мл,"Alcon Laboratories, Испания",None,None,367 ₽,https://366.ru/p/sistejn-ultra-srvo-oftalm-3ml-52639/,https://media.366.ru/sys_master/product/h7a/hcb/9239357882398.jpg
Систейн Баланс капли глазные 10 мл,"Alcon Laboratories, Испания",None,None,729 ₽,https://366.ru/p/sistejn-balans-kap-gl-10ml-srvo-oft-39075/,https://media.366.ru/sys_master/product/h44/he9/9239356964894.jpg
Пилокарпина гидрохлорид капли глазные 1% 5 мл,"СИНТЕЗ АКО, РоссияПилокарпин",Пилокарпин,None,46 ₽,https://366.ru/p/pilokarpina-g-kh-gl-kapli-1-5ml-27035/,https://media.366.ru/sys_master/product/h4b/hbe/8931468378142.jpg
Октальмокапли для глаз флакон 5 мл,"ДИАФАРМ, РоссияАминобензойная кислота",Аминобензойная кислота,None,358 ₽,https://366.ru/p/oktalmol-kapli-glazn-flakonkapel-5ml-206650/,https://media.366.ru/sys_master/product/hee/h02/9390796537886.jpg
Пилокарпина капли глазные 1% 5 мл,"ДИАФАРМ, РоссияПилокарпин",Пилокарпин,None,27 ₽,https://366.ru/p/pilokarpina-g-kh-gl-kapli-1-5ml-7733/,https://media.366.ru/sys_master/product/h3b/ha1/9251880894494.jpg
"Дуотрав капли глазные флакон-капельница 2,5 мл","Alcon Laboratories, Бельгия",None,None,1 076 ₽,https://366.ru/p/duotrav-gl-kapli-2-5ml-35522/,https://media.366.ru/sys_master/product/h0a/h52/8816346267678.jpg
