Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Бепантен мазь 5% 100 г,"БАЙЕР, ГерманияДекспантенол",Декспантенол,None,948 ₽,https://366.ru/p/bepanten-maz-d-naruzh-prim-5-100g-40080/,https://media.366.ru/sys_master/product/hb2/hce/9190446465054.png
Тридерм крем 15 г,"БАЙЕР, БельгияГентамицин Клотримазол Бетаметазон",Гентамицин,None,921 ₽,https://366.ru/p/triderm-krem-d-naruzh-prim-15g-10331/,https://media.366.ru/sys_master/product/hd6/h1d/9175743201310.png
Бепантен Плюс крем 30 г,"БАЙЕР, ГерманияДекспантенол + Хлоргексидин",Декспантенол + Хлоргексидин,None,603 ₽,https://366.ru/p/bepanten-pljus-krem-d-naruzh-prim-30g-23270/,https://media.366.ru/sys_master/product/h8b/h0c/9190443253790.png
Бепантен крем 5% 50 г,"БАЙЕР, ГерманияДекспантенол",Декспантенол,None,715 ₽,https://366.ru/p/bepanten-krem-d-naruzh-prim-5-50g-63683/,https://media.366.ru/sys_master/product/h1a/h1a/9190455246878.png
Бепантен крем 5% 100 г,"БАЙЕР, ГерманияДекспантенол",Декспантенол,None,970 ₽,https://366.ru/p/bepanten-krem-d-naruzh-prim-5-100g-39801/,https://media.366.ru/sys_master/product/hac/h97/9190446006302.png
Тридерм мазь 15 г,"БАЙЕР, БельгияБетаметазон + Гентамицин + Клотримазол",Бетаметазон + Гентамицин + Клотримазол,None,957 ₽,https://366.ru/p/triderm-maz-d-naruzh-prim-15g-43021/,https://media.366.ru/sys_master/product/ha1/h7d/9175785078814.png
Йодинол раствор с насадкой-распылителем 50 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияЙод + [Калия йодид + Поливиниловый спирт]",Йод + [Калия йодид + Поливиниловый спирт],None,149 ₽,https://366.ru/p/jodinol-rr-s-raspylitelem-50ml-45187/,https://media.366.ru/sys_master/product/ha8/h90/8816834805790.jpg
Бриллиантовый зеленый раствор спиртосодержащий 1% 10 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияБриллиантовый зеленый",Бриллиантовый зеленый,None,47 ₽,https://366.ru/p/brilliant-zelenyj-rr-1-10ml-30165/,https://media.366.ru/sys_master/product/h74/hf3/8816147791902.jpg
ВитаВерде облепиховое масло Алтай Элитное 180мг 50мл,"Грин Сайд, Россия",None,None,290 ₽,https://366.ru/p/vitaverde-oblep-masl-altaj-elit180mg50ml-211304/,https://media.366.ru/sys_master/product/hbd/h2a/9900785434654.png
Вишневского линимент бальзамич. 30г,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияДеготь + Трибромфенолята висмута и висмута оксида комплекс",Деготь + Трибромфенолята висмута и висмута оксида комплекс,None,64 ₽,https://366.ru/p/vishnevskogo-liniment-30g-3245/,https://media.366.ru/sys_master/product/h02/h23/8844641337374.jpg
Фундизол крем 30 мл,"АММА, Россия",None,None,171 ₽,https://366.ru/p/fundizol-krem-30ml-49503/,https://media.366.ru/sys_master/product/hb2/h81/8826449395742.jpg
Витаон бэби 30 мл,"АММА, Россия",None,None,296 ₽,https://366.ru/p/vitaon-bebi-30ml-korobka-3180/,https://media.366.ru/sys_master/product/h04/hb9/8818967085086.jpg
Камфорное масло 10% 30мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияКамфора",Камфора,None,40 ₽,https://366.ru/p/kamfornoe-maslo-10-30ml-12426/,https://media.366.ru/sys_master/product/h69/h55/8820655915038.jpg
Флуконазол капсулы 50 мг 7 шт,"ВЕРТЕКС, РоссияФлуконазол",Флуконазол,None,64 ₽,https://366.ru/p/flukonazolverte-kaps-50mg-7-34110/,https://media.366.ru/sys_master/product/h5f/h88/8818128650270.jpg
"Хлоргексидин биглюконат раствор 0,05% 100 мл","ЮЖФАРМ, Россия",None,None,35 ₽,https://366.ru/p/khlorgeksidin-bigljukonat-rr-0-05-100ml-10949/,https://media.366.ru/sys_master/product/h58/h74/9198877016094.jpg
Йод раствор для наружного применения спиртовой флаконы 5% 10 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияЙод + [Калия йодид + Этанол]",Йод + [Калия йодид + Этанол],None,53 ₽,https://366.ru/p/joda-spirt-rr-5-10ml-kryshkapomazok-40369/,https://media.366.ru/sys_master/product/h6c/h5e/8816531537950.jpg
Сульсена паста туба 2% 75 г,МирроллаСелена сульфид,Селена сульфид,None,147 ₽,https://366.ru/p/sulsenovaja-pasta-sulsen-forte-2-75g-42012/,https://media.366.ru/sys_master/product/he4/h49/9527304585246.jpg
Бриллиантовый зеленый раствор спиртосодержащий 1% 25 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияБриллиантовый зеленый",Бриллиантовый зеленый,None,39 ₽,https://366.ru/p/brilliant-zelenyj-rr-1-25ml-40908/,https://media.366.ru/sys_master/product/hee/hea/8816573382686.jpg
Циндол суспензия 125 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияЦинка оксид",Цинка оксид,None,99 ₽,https://366.ru/p/cindol-susp-125g-11113/,https://media.366.ru/sys_master/product/h8f/hee/8820049182750.jpg
Формидрон раствор наружный 100 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияФормальдегид",Формальдегид,None,37 ₽,https://366.ru/p/formidron-rr-d-naruzh-prim-spirt-100ml-45015/,https://media.366.ru/sys_master/product/hbe/h0e/8826334543902.jpg
Борная кислота раствор спиртосодержащий 3% 25мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияБорная кислота",Борная кислота,None,42 ₽,https://366.ru/p/bornoj-kty-spirt-rr-3-25ml-2601/,https://media.366.ru/sys_master/product/h39/hc5/8820022181918.jpg
Ихтиол мазь 10% 25 г,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияИхтаммол",Ихтаммол,None,52 ₽,https://366.ru/p/ikhtiolovaja-maz-d-naruzh-prim-10-25g-4671/,https://media.366.ru/sys_master/product/h7b/h0e/8816886874142.jpg
Спасатель бальзам 30 г,"Люми, Россия",None,None,234 ₽,https://366.ru/p/spasatel-balzam-kosmetich-30g-25372/,https://media.366.ru/sys_master/product/h28/h31/9148281389086.jpg
Йодинол раствор 100 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияЙод + [Калия йодид + Поливиниловый спирт]",Йод + [Калия йодид + Поливиниловый спирт],None,35 ₽,https://366.ru/p/jodinol-rr-d-mest-i-naruzh-prim-100ml-4689/,https://media.366.ru/sys_master/product/h6a/h45/8820608434206.jpg
Перекись водорода раствор 3% 100 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияВодорода пероксид",Водорода пероксид,None,13 ₽,https://366.ru/p/perekisi-vodoroda-rr-3-100ml-but-polim-35523/,https://media.366.ru/sys_master/product/hec/he3/8820943061022.jpg
Салицилово-цинковая паста 25 г,"Тверская ФФ, Россия",None,None,33 ₽,https://366.ru/p/salicilovocinkovaja-pasta-25g-9147/,https://media.366.ru/sys_master/product/h26/h77/9814772580382.jpg
Клей бф-6 10г туба,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияФенол",Фенол,None,78 ₽,https://366.ru/p/klej-bf6-rr-d-naruzh-prim-10g-39785/,https://media.366.ru/sys_master/product/he5/hc4/8844737380382.jpg
Левомикон мазь 30 г,ТУЛЬСКАЯ ФАРМ ФАБРИКАДиоксометилтетрагидропиримидин + Хлорамфеникол,Диоксометилтетрагидропиримидин + Хлорамфеникол,None,148 ₽,https://366.ru/p/levomikon-maz-30g-71014/,https://media.366.ru/sys_master/product/h93/h3d/8880092348446.jpg
Левомицетин раствор 1% 25 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияПрокаин + Хлорамфеникол + Этанол",Прокаин + Хлорамфеникол + Этанол,None,48 ₽,https://366.ru/p/levomicetina-spirt-rr-1-25ml-44659/,https://media.366.ru/sys_master/product/h54/h33/8816813309982.jpg
Ихтиол мазь 20% 25 г,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияИхтаммол",Ихтаммол,None,109 ₽,https://366.ru/p/ikhtiolovaja-maz-d-naruzh-prim-20-25g-37793/,https://media.366.ru/sys_master/product/he0/h14/8816420618270.jpg
