Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Глимепирид таблетки 2 мг 30 шт,"ВЕРТЕКС, РоссияГлимепирид",Глимепирид,None,211 ₽,https://366.ru/p/glimepiridverte-tab-2mg-30-40806/,https://media.366.ru/sys_master/product/hd9/h47/8821417050142.jpg
Глимепирид таблетки 3 мг 30 шт,"ВЕРТЕКС, РоссияГлимепирид",Глимепирид,None,383 ₽,https://366.ru/p/glimepiridverte-tab-3mg-30-40807/,https://media.366.ru/sys_master/product/ha5/h76/8821067087902.jpg
Глимепирид таблетки 4 мг 30 шт,"ВЕРТЕКС, РоссияГлимепирид",Глимепирид,None,347 ₽,https://366.ru/p/glimepiridverte-tab-4mg-30-40808/,https://media.366.ru/sys_master/product/h8b/he4/8821447131166.jpg
Contour Plus тест-полоски 50 шт,"Ascensia Diabetes Care, Швейцария",None,None,"929,10 ₽",https://366.ru/p/kontur-pljus-testpoloski-50-69824/,https://media.366.ru/sys_master/product/h30/ha9/9915444101150.jpg
Галвус Мет таблетки 50 мг + 850 мг 30 шт,Вилдаглиптин + Метформин,Вилдаглиптин + Метформин,None,1 742 ₽,https://366.ru/p/galvus-met-tab-p-pl-ob-50mg-850mg-30-32803/,https://media.366.ru/sys_master/product/h0f/h88/9226819305502.jpg
Accu-Check Performa тест-полоски 100 шт,"РОШ ДИАБЕТЕС КЕА РУС, Германия",None,None,2 076 ₽,https://366.ru/p/testpoloski-akkuchek-performa-100-54973/,https://media.366.ru/sys_master/product/h99/h70/8817082105886.jpg
One Touch Delica ланцеты 25 шт,"LifeScan, Швейцария",None,None,276 ₽,https://366.ru/p/van-tach-lancety-delika-n25-194221/,https://media.366.ru/sys_master/product/h00/h76/9081062260766.jpg
Берлитион раствор для инъекций 300ед 12 мл 5 шт,"Berlin-Chemie, ГерманияТиоктовая кислота",Тиоктовая кислота,None,594 ₽,https://366.ru/p/berlition-300-konc-d-inf-25mg-ml-12ml-5-2328/,https://media.366.ru/sys_master/product/h37/h9f/8901421465630.jpg
Берлитион 300 таблетки 30 шт,"Berlin-Chemie, ГерманияТиоктовая кислота",Тиоктовая кислота,None,794 ₽,https://366.ru/p/berlition-tab-p-o-300mg-30-2329/,https://media.366.ru/sys_master/product/hd7/h86/8818186911774.jpg
Глюренорм таблетки 60 шт,"БЕРИНГЕР ИНГЕЛЬХАЙМ, ГрецияГликвидон",Гликвидон,None,591 ₽,https://366.ru/p/gljurenorm-tab-30mg-60-3673/,https://media.366.ru/sys_master/product/h63/h28/8818098372638.jpg
"Манинил таблетки 1,75 мг 120 шт","Berlin-Chemie, ГерманияГлибенкламид",Глибенкламид,None,129 ₽,https://366.ru/p/maninil-1-75-tab-1-75mg-120-6118/,https://media.366.ru/sys_master/product/h5c/h45/8901551554590.jpg
"Манинил таблетки 3,5 мг 120 шт","Berlin-Chemie, ГерманияГлибенкламид",Глибенкламид,None,179 ₽,https://366.ru/p/maninil-3-5-tab-3-5mg-120-6119/,https://media.366.ru/sys_master/product/h79/h59/8901552439326.jpg
Тиогамма таблетки 600 мг 30 шт,"ВЁРВАГ ФАРМА, ГерманияТиоктовая кислота",Тиоктовая кислота,None,978 ₽,https://366.ru/p/tiogamma-tab-p-o-600mg-30-10189/,https://media.366.ru/sys_master/product/h6c/h13/9621437644830.jpg
Протафан НМ Пенфилл суспензия 100 ме/мл 3 мл 5 шт,"НОВО НОРДИСК, ДанияИнсулин-изофан [человеческий генно-инженерный]",Инсулин-изофан [человеческий генно-инженерный],None,921 ₽,https://366.ru/p/protafan-hm-penf-susp-p-k-100me-ml3ml5-12022/,https://media.366.ru/sys_master/product/hd7/hbe/8825389350942.jpg
"Актрапид НМ Пенфилл раствор 100 ме/мл 3,0 мл 5 шт","НОВО НОРДИСК, ДанияИнсулин растворимый [человеческий генно-инженерный]",Инсулин растворимый [человеческий генно-инженерный],None,921 ₽,https://366.ru/p/aktrapid-hm-penf-rr-d-in-100me-ml-3ml5-12023/,https://media.366.ru/sys_master/product/h5c/h50/8825389744158.jpg
Протафан НМ суспензия 100 ме/мл 10 мл,"НОВО НОРДИСК, ДанияИнсулин-изофан [человеческий генно-инженерный]",Инсулин-изофан [человеческий генно-инженерный],None,432 ₽,https://366.ru/p/protafan-hm-susp-p-k-100me-ml-10ml-12676/,https://media.366.ru/sys_master/product/h31/h7e/8818173837342.jpg
Актрапид HM раствор 100 ме/мл 10 мл,"НОВО НОРДИСК, ДанияИнсулин растворимый [человеческий генно-инженерный]",Инсулин растворимый [человеческий генно-инженерный],None,438 ₽,https://366.ru/p/aktrapid-hm-rr-d-in-100me-ml-fl-10ml-12800/,https://media.366.ru/sys_master/product/h24/hf9/8825391972382.jpg
Accu-Check Softclix ланцеты 25 шт,"РОШ ДИАБЕТЕС КЕА РУС, Германия",None,None,129 ₽,https://366.ru/p/lancet-steril-akkuchek-softclix-25-14836/,https://media.366.ru/sys_master/product/h02/h41/8823044571166.jpg
Глюкованс таблетки 5 мг + 500 мг 30 шт,"МЕРК, ФранцияГлибенкламид + Метформин",Глибенкламид + Метформин,None,388 ₽,https://366.ru/p/gljukovans-tab-p-pl-ob-500mg-5mg-30-19467/,https://media.366.ru/sys_master/product/hcd/h62/8817468178462.jpg
"Глюкованс таблетки 2,5 мг + 500 мг 30 шт","МЕРК, ФранцияГлибенкламид + Метформин",Глибенкламид + Метформин,None,359 ₽,https://366.ru/p/gljukovans-tab-p-pl-ob-500mg-2-5mg-30-19466/,https://media.366.ru/sys_master/product/h89/h6e/8817467686942.jpg
Тиогамма таблетки 600 мг 60 шт,"ВЁРВАГ ФАРМА, ГерманияТиоктовая кислота",Тиоктовая кислота,None,1 891 ₽,https://366.ru/p/tiogamma-tab-p-o-600mg-60-20786/,https://media.366.ru/sys_master/product/he7/hf9/9621438332958.jpg
Глибомет таблетки 40 шт,"Berlin-Chemie, ГерманияГлибенкламид",Глибенкламид,None,507 ₽,https://366.ru/p/glibomet-tab-p-o-2-5mg-400mg-40-22818/,https://media.366.ru/sys_master/product/h90/h54/8818091720734.jpg
Хумалог Микс25 раствор 100МЕ/мл 3 мл 5 шт,"Lilly France, ФранцияИнсулин лизпро двухфазный",Инсулин лизпро двухфазный,None,1 537 ₽,https://366.ru/p/khumalog-miks25-rr-d-in-100me-ml-3ml5-23020/,https://media.366.ru/sys_master/product/h5d/h6c/8818498863134.jpg
Акку-чек софткликс ланцеты N200,"РОШ ДИАБЕТЕС КЕА РУС, Германия",None,None,873 ₽,https://366.ru/p/lancet-steril-akkuchek-softclix-200-23209/,https://media.366.ru/sys_master/product/h09/h63/8817499832350.jpg
Сиофор таблетки покрытые оболочкой 1000 мг 60 шт,"Berlin-Chemie, РоссияМетформин",Метформин,None,452 ₽,https://366.ru/p/siofor-tab-p-o-1000mg-60-24477/,https://media.366.ru/sys_master/product/h4e/h10/8821248360478.jpg
Биосулин Р картриджи 100 Е для мл 3 мл 5 шт,"Фармстандарт+, РоссияИнсулин растворимый [человеческий генно-инженерный]",Инсулин растворимый [человеческий генно-инженерный],None,1 103 ₽,https://366.ru/p/biosulin-r-rr-d-in-100me-ml-3ml-5-24602/,https://media.366.ru/sys_master/product/he5/h0f/8818605064222.jpg
