Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
"Монтелукаст 0,01 г таблетки 30 шт","ВЕРТЕКС, РоссияМонтелукаст",Монтелукаст,None,710 ₽,https://366.ru/p/montelukast-tab-10mg-30-58160/,https://media.366.ru/sys_master/product/h84/h02/8817989353502.jpg
Монтелукаст таблетки 5 мг 28 шт,"ВЕРТЕКС, РоссияМонтелукаст",Монтелукаст,None,879 ₽,https://366.ru/p/montelukast-tab-zhevat-5mg-28-45763/,https://media.366.ru/sys_master/product/h7a/h42/8818631671838.jpg
Сингуляр таблетки жевательные 4 мг 14 шт,"МСД ФАРМАСЬЮТИКАЛС, НидерландыМонтелукаст",Монтелукаст,None,1 412 ₽,https://366.ru/p/singuljar-tabl-zhev-4mg-n14-33798/,https://media.366.ru/sys_master/product/h2d/h97/9267986759710.jpg
Серетид Мультидиск порошок для ингаляций ингаляторы 50 мкг + 250 мкг 60 доз,"GlaxoSmith Kline Healthcare, ВеликобританияСалметерол + Флутиказон",Салметерол + Флутиказон,None,1 554 ₽,https://366.ru/p/seretid-mult-por-50mkg-0-25mg-60doz-22637/,https://media.366.ru/sys_master/product/h40/h44/8816027140126.jpg
Беротек Н аэрозоль 100 мкг/доза 200 доз 10 мл,"БЕРИНГЕР ИНГЕЛЬХАЙМ, ГерманияФенотерол",Фенотерол,None,569 ₽,https://366.ru/p/berotek-n-aer-100mkg-doza-200doz-2335/,https://media.366.ru/sys_master/product/hdd/h43/8818099290142.jpg
Беродуал Н аэрозоль для ингаляций 10 мл 200 доз,"БЕРИНГЕР ИНГЕЛЬХАЙМ, ГерманияИпратропия бромид + Фенотерол",Ипратропия бромид + Фенотерол,None,571 ₽,https://366.ru/p/berodual-n-aer-20-50mkg-doza-10ml-200doz-2331/,https://media.366.ru/sys_master/product/h64/h5b/8825506431006.jpg
"Пульмикорт суспензия для ингаляций 0,25 мг/мл контейнеры 2 мл 20 шт","AstraZeneca, ШвецияБудесонид",Будесонид,None,997 ₽,https://366.ru/p/pulmikort-susp-d-ing-0-25mg-ml-2ml-20-8707/,https://media.366.ru/sys_master/product/he1/h9b/8820663255070.jpg
"Пульмикорт суспензия для ингаляций 0,5 мг/мл 2 мл 20 шт","AstraZeneca, РоссияБудесонид",Будесонид,None,1 314 ₽,https://366.ru/p/pulmikort-susp-d-ing-0-5mg-ml-2ml-20-8708/,https://media.366.ru/sys_master/product/hdd/h61/8817349558302.jpg
Пульмикорт Турбухалер порошок 100 мкг/доза 200 доз,"AstraZeneca, ШвецияБудесонид",Будесонид,None,859 ₽,https://366.ru/p/pulmikort-turb-por-d-ing-100mkg-d200doz-8709/,https://media.366.ru/sys_master/product/h62/h96/8817350049822.jpg
Пульмикорт Турбухалер порошок для ингаляций 200 мкг/доза 100 доз,"AstraZeneca, ШвецияБудесонид",Будесонид,None,498 ₽,https://366.ru/p/pulmikort-turb-por-d-ing-200mkg-d100doz-8710/,https://media.366.ru/sys_master/product/h60/h25/8818070355998.jpg
