Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Энтерол порошок для приготовления суспензии 100 мг 20 шт,"Biocodex, ФранцияЛиофилизированные Saccharamyces boulardi",Лиофилизированные Saccharamyces boulardi,None,601 ₽,https://366.ru/p/enterol-por-d-prig-susp-100mg-20-38975/,https://media.366.ru/sys_master/product/h91/h4c/8816471441438.jpg
Энтерол порошок для приготовления суспензии саше 250 мг 20 шт,"Biocodex, ФранцияЛиофилизированные Saccharamyces boulardi",Лиофилизированные Saccharamyces boulardi,None,773 ₽,https://366.ru/p/enterol-por-d-prig-susp-250-mg-20-43913/,https://media.366.ru/sys_master/product/h8d/h43/8816755245086.jpg
Бифиформ капсулы 30 шт,"Пфайзер+, ДанияЭнтерококкус фециум Бифидобактерии",Энтерококкус фециум,None,545 ₽,https://366.ru/p/bifiform-kaps-kishechnorastv-30-2562/,https://media.366.ru/sys_master/product/h90/h34/9917837213726.jpg
Ренни таблетки жевательные мята без сахара 12 шт,"БАЙЕР, ФранцияКальция карбонат + Магния карбонат",Кальция карбонат + Магния карбонат,None,317 ₽,https://366.ru/p/renni-tab-zhev-bez-sakhara-12-mjata-44306/,https://media.366.ru/sys_master/product/hc5/h0a/9175790911518.png
Экофурил капсулы 100 мг 30 шт,"АВВА РУС, РоссияНифуроксазид",Нифуроксазид,None,260 ₽,https://366.ru/p/ekofuril-kaps-100mg-30-49709/,https://media.366.ru/sys_master/product/hbf/h54/8816999661598.jpg
Мята перечная настойка 25 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияМяты перечной листья",Мяты перечной листья,None,34 ₽,https://366.ru/p/mjaty-perechnoj-nka-25ml-38110/,https://media.366.ru/sys_master/product/hef/hb6/8819700138014.jpg
Экофурил капсулы 200 мг 16 шт,"АВВА РУС, РоссияНифуроксазид",Нифуроксазид,None,320 ₽,https://366.ru/p/ekofuril-kaps-200mg-16-49710/,https://media.366.ru/sys_master/product/hd1/hd0/8817000153118.jpg
Тыквеол капсулы 450 мг 84 шт,"ЕВРОПА-БИОФАРМ, РоссияТыквы обыкновенной семян масло",Тыквы обыкновенной семян масло,None,676 ₽,https://366.ru/p/tykveol-kaps-450mg-84-10397/,https://media.366.ru/sys_master/product/hd2/hbc/8815852159006.jpg
Экофурил капсулы 200 мг 30 шт,"АВВА РУС, РоссияНифуроксазид",Нифуроксазид,None,475 ₽,https://366.ru/p/ekofuril-kaps-200mg-30-49711/,https://media.366.ru/sys_master/product/hba/h1a/8817000644638.jpg
Касторовое масло 30 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияКлещевины обыкновенной семян масло",Клещевины обыкновенной семян масло,None,79 ₽,https://366.ru/p/kastorovoe-maslo-30ml-30225/,https://media.366.ru/sys_master/product/h56/h3b/8820679606302.jpg
"Глицерин суппозитории ректальные 1,24 г 10 шт","ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияГлицерол",Глицерол,None,189 ₽,https://366.ru/p/glicerin-supp-rekt-1-24-10-197821/,https://media.366.ru/sys_master/product/h97/h52/9487371272222.jpg
Магния сульфат порошок 25 г,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияМагния сульфат",Магния сульфат,None,47 ₽,https://366.ru/p/magnija-sulfat-por-25g-45021/,https://media.366.ru/sys_master/product/h70/he4/8816827891742.jpg
"Глицерин суппозитории ректальные 2,11 г 10 шт",Глицерол,Глицерол,None,257 ₽,https://366.ru/p/glicerin-supp-rekt-2-11-10-197822/,https://media.366.ru/sys_master/product/h63/h8a/9995821482014.jpg
Экофурил суспензия 200 мг/5 мл 90 мл,"АВВА РУС, Россия",None,None,440 ₽,https://366.ru/p/ekofuril-susp-oral-200mg-5ml-90ml-205194/,https://media.366.ru/sys_master/product/h2c/he1/9296483319838.jpg
