Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Ингарон лиофилизат раствор назальный 100000 МЕ + растворитель,"ФАРМАКЛОН, РоссияИнтерферон гамма",Интерферон гамма,None,296 ₽,https://366.ru/p/ingaron-liof-rr-naz-100tys-me-1-rl-60011/,https://media.366.ru/sys_master/product/h07/hcd/8817258135582.jpg
Женьшень настойка 25 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияЖеньшень",Женьшень,None,59 ₽,https://366.ru/p/zhenshenja-nka-25ml-27911/,https://media.366.ru/sys_master/product/hf9/hf8/8820539031582.jpg
Олумиант таблетки 4 мг 28 шт,"Лилли Дель Карибе ИНК, Пуэрто-РикоБарицитиниб",Барицитиниб,None,51 390 ₽,https://366.ru/p/olumiant-tabl-pok-p-o-4-mg-28-208370/,https://media.366.ru/sys_master/product/hdd/h29/9795178528798.jpg
"Бронхо-мунал П капсулы 3,5 мг 10 шт","САНДОЗ, СловенияЛизаты бактерий [Haеmophilus influenzae + Streptococcus pneumoniae + Streptococcus viridans + Streptococcus pyogenes + Klebsiella pneumoniae + Klebsie",Лизаты бактерий [Haеmophilus influenzae + Streptococcus pneumoniae + Streptococcus viridans + Streptococcus pyogenes + Klebsiella pneumoniae + Klebsie,None,693 ₽,https://366.ru/p/bronkhomunal-p-kaps-3-5mg-10-2720/,https://media.366.ru/sys_master/product/h31/h65/8818140807198.jpg
Бронхо-мунал капсулы 7 мг 10 шт,"САНДОЗ, СловенияЛизаты бактерий [Haеmophilus influenzae + Streptococcus pneumoniae + Streptococcus viridans + Streptococcus pyogenes + Klebsiella pneumoniae + Klebsie",Лизаты бактерий [Haеmophilus influenzae + Streptococcus pneumoniae + Streptococcus viridans + Streptococcus pyogenes + Klebsiella pneumoniae + Klebsie,None,820 ₽,https://366.ru/p/bronkhomunal-kaps-7mg-10-2721/,https://media.366.ru/sys_master/product/heb/hfa/8825580027934.jpg
Галавит порошок 100 мг флаконы 5 шт,"СЭЛВИМ, РоссияАминодигидрофталазиндион натрия",Аминодигидрофталазиндион натрия,None,1 549 ₽,https://366.ru/p/galavit-por-d-pr-rra-v-m-100mg-5-3328/,https://media.366.ru/sys_master/product/h4c/hb8/9007517827102.jpg
"Деринат раствор для местного применения флакон-капельница 0,25% 10 мл","ТЕХНОМЕДСЕРВИС, РоссияНатрия дезоксирибонуклеат",Натрия дезоксирибонуклеат,None,458 ₽,https://366.ru/p/derinat-rr-0-25-10ml-flkap-1-3911/,https://media.366.ru/sys_master/product/h1c/h93/8818222923806.jpg
Кипферон суппозитории вагинально-ректальные 500000 ЕД 10 шт,"АПФ-ТРЕЙДИНГ, РоссияИнтерферон альфа-2b человеческий рекомбинантный",Интерферон альфа-2b человеческий рекомбинантный,None,830 ₽,https://366.ru/p/kipferon-supp-rekt-i-vag-10-5041/,https://media.366.ru/sys_master/product/h62/ha4/8818252972062.jpg
Ликопид таблетки 1 мг 10 шт,"ПЕПТЕК, РоссияГлюкозаминилмурамилдипептид",Глюкозаминилмурамилдипептид,None,393 ₽,https://366.ru/p/likopid-tab-1mg-10-5920/,https://media.366.ru/sys_master/product/hae/h9c/9915442790430.png
Ликопид таблетки 10 мг 10 шт,"ПЕПТЕК, РоссияГлюкозаминилмурамилдипептид",Глюкозаминилмурамилдипептид,None,2 046 ₽,https://366.ru/p/likopid-tab-10mg-10-5919/,https://media.366.ru/sys_master/product/h0f/h6f/8818270404638.jpg
Неовир раствор для внутримышечного введения ампулы 2 мл 5 шт,"РОССИЙСКИЙ КАРДИОЦЕНТР, РоссияОксодигидроакридинилацетат натрия",Оксодигидроакридинилацетат натрия,None,1 383 ₽,https://366.ru/p/neovir-rr-d-in-12-5-2ml-5-6887/,https://media.366.ru/sys_master/product/h00/h3a/8820622229534.jpg
Панавир раствор для внутривенного введения 40 мкг/мл ампулы 5 мл 5 шт,"ПАНАФАРМ, РоссияПолисахариды побегов Solanum tuberosum",Полисахариды побегов Solanum tuberosum,None,4 191 ₽,https://366.ru/p/panavir-amp-0-004-5ml-5-7444/,https://media.366.ru/sys_master/product/hb8/h0d/8826847887390.jpg
Пирогенал раствор для инъекций 100мкг/мл ампулы 1мл N10,"ГУ НИИ БМХ РАМН ИМ. В.Н.ОРЕХОВИЧА, РоссияБактериальный липополисахарид",Бактериальный липополисахарид,None,1 723 ₽,https://366.ru/p/pirogenal-amp-100mkg-ml-1ml-10-7843/,https://media.366.ru/sys_master/product/ha4/h63/8818306187294.jpg
Пирогенал раствор для инъекций 10мкг/мл ампулы 1мл N10,"ГУ НИИ БМХ РАМН ИМ. В.Н.ОРЕХОВИЧА, РоссияБактериальный липополисахарид",Бактериальный липополисахарид,None,1 410 ₽,https://366.ru/p/pirogenal-amp-10mkg-ml-1ml-10-7844/,https://media.366.ru/sys_master/product/h70/h83/8846520188958.jpg
Пирогенал раствор для инъекций 25мкг/мл ампулы 1мл N10,"ГУ НИИ БМХ РАМН ИМ. В.Н.ОРЕХОВИЧА, РоссияБактериальный липополисахарид",Бактериальный липополисахарид,None,1 496 ₽,https://366.ru/p/pirogenal-amp-25mkg-ml-1ml-10-7845/,https://media.366.ru/sys_master/product/hca/hd1/8818306416670.jpg
Пирогенал раствор для инъекций 50мкг/мл ампулы 1мл N10,"ГУ НИИ БМХ РАМН ИМ. В.Н.ОРЕХОВИЧА, РоссияБактериальный липополисахарид",Бактериальный липополисахарид,None,1 650 ₽,https://366.ru/p/pirogenal-amp-50mkg-ml-1ml-10-7846/,https://media.366.ru/sys_master/product/hd3/h67/8818306646046.jpg
Прополис-ДН суппозитории ректальные 6 шт,"ДОКТОР Н, РоссияПрополис",Прополис,None,345 ₽,https://366.ru/p/propolis-dn-supp-rekt-gomeop-6-8644/,https://media.366.ru/sys_master/product/h73/h5e/8818287837214.jpg
"Реаферон-ЕС-липинт лиофилизат порошок 0,5млнМЕ1м N5","ВЕКТОР-МЕДИКА, РоссияИнтерферон альфа-2",Интерферон альфа-2,None,788 ₽,https://366.ru/p/reaferoneslipint-d-pr-susp-0-5mlnme5-8843/,https://media.366.ru/sys_master/product/h25/h55/9931322359838.jpg
Реаферон-ЕС лиофилизат для раствора 3000000 МЕ 5 шт,"ВЕКТОР-МЕДИКА, РоссияИнтерферон альфа-2b человеческий рекомбинантный",Интерферон альфа-2b человеческий рекомбинантный,None,1 302 ₽,https://366.ru/p/reaferones-liof-d-pr-rra-v-m-3mlnme5-8846/,https://media.366.ru/sys_master/images/hd0/hc3/9931324194846.jpg
Секстафаг раствор для приема внутрь флаконы 20 мл 4 шт,"МИКРОГЕН, РоссияПиобактериофаг",Пиобактериофаг,None,1 030 ₽,https://366.ru/p/sekstafag-poliv-zhidk-rr-20ml-4-9268/,https://media.366.ru/sys_master/product/h19/h05/8817360666654.jpg
Сульгин Авексима таблетки 500 мг 10 шт,"ИРБИТСКИЙ ХФЗ, РоссияСульфагуанидин",Сульфагуанидин,None,105 ₽,https://366.ru/p/sulgin-aveksima-tab-500mg-10-9768/,https://media.366.ru/sys_master/product/h62/hb6/9127905001502.jpg
"Тимоген спрей назальный 0,025% 10 мл","ЦИТОМЕД МБНПК, РоссияАльфа-глутамил-триптофан",Альфа-глутамил-триптофан,None,497 ₽,https://366.ru/p/timogen-sprej-naz-doz-25mkg-doza-fl-10ml-10172/,https://media.366.ru/sys_master/product/h8e/h22/8817383309342.jpg
Доктор Тайсс эхинацея 50 мл,"Dr. Theiss Naturwaren, ГерманияЭхинацеи узколистной настойка",Эхинацеи узколистной настойка,None,388 ₽,https://366.ru/p/ekhinacei-nka-50ml-11941/,https://media.366.ru/sys_master/product/hbe/h93/8825388171294.jpg
Арава таблетки покрытые оболочкой 20 мг 30 шт,"СОТЕКС, ГерманияЛефлуномид",Лефлуномид,None,1 292 ₽,https://366.ru/p/arava-tab-p-o-20mg-30-12807/,https://media.366.ru/sys_master/product/hc6/h81/8818365825054.jpg
Пиобактериофаг поливалентный очищенный раствор 20 мл 4 шт,"МИКРОГЕН, РоссияПиобактериофаг",Пиобактериофаг,None,1 053 ₽,https://366.ru/p/piobakteriofag-poliv-och-zhid-rr-20ml-4-13096/,https://media.366.ru/sys_master/product/h15/h04/8817410244638.jpg
Бактериофаг стафилококковый раствор 100 мл,"МИКРОГЕН, РоссияБактериофаг стафилококковый",Бактериофаг стафилококковый,None,1 092 ₽,https://366.ru/p/bakteriofag-stafilokok-zhid-rr-100ml-13439/,https://media.366.ru/sys_master/product/h0f/ha3/8815919857694.jpg
Полиоксидоний порошок для инъекций 6 мг 5 шт,"ПЕТРОВАКС, РоссияАзоксимера бромид",Азоксимера бромид,None,1 380 ₽,https://366.ru/p/polioksidonij-por-liof-d-in-6mg-5-fl-13985/,https://media.366.ru/sys_master/product/h7b/hf4/8948771422238.png
Полиоксидоний суппозитории вагинальные и ректальные 6 мг 10 шт,"ПЕТРОВАКС, РоссияАзоксимера бромид",Азоксимера бромид,None,1 036 ₽,https://366.ru/p/polioksidonij-supp-rekt-i-vag-6mg-10-13986/,https://media.366.ru/sys_master/product/h44/hcb/8815924150302.jpg
Интести-бактериофаг раствор для приема внутрь 100 мл,"МИКРОГЕН, РоссияСмесь фаголизатов",Смесь фаголизатов,None,1 055 ₽,https://366.ru/p/intestibakteriofag-zhid-rr-100ml-14037/,https://media.366.ru/sys_master/product/h88/hbe/9365702574110.jpg
Анаферон таблетки для рассасывания 20 шт,"МАТЕРИА МЕДИКА, РоссияАнтитела к гамма интерферону аффинно очищенные",Антитела к гамма интерферону аффинно очищенные,None,382 ₽,https://366.ru/p/anaferon-tab-d-rassasyv-20-14490/,https://media.366.ru/sys_master/product/h9f/hc2/8818111676446.jpg
"Иммуноглобулин человеческий нормальный ампулы 1,5 мл 10 шт","МИКРОГЕН, РоссияИммуноглобулин человека нормальный",Иммуноглобулин человека нормальный,None,1 150 ₽,https://366.ru/p/immunoglobulin-chel-norm-1-5ml-doza-10-14664/,https://media.366.ru/sys_master/product/h45/h97/9116524347422.jpg
Бактериофаг колипротейный раствор 100 мл,"МИКРОГЕН, РоссияБактериофаг коли",Бактериофаг коли,None,926 ₽,https://366.ru/p/bakteriofag-koliprot-zhid-rr-100ml-15022/,https://media.366.ru/sys_master/product/h53/h88/8815944237086.jpg
Бактериофаг стафилококковый раствор 20 мл 4 шт,"МИКРОГЕН, РоссияБактериофаг стафилококковый",Бактериофаг стафилококковый,None,977 ₽,https://366.ru/p/bakteriofag-stafilokok-zhid-rr-20ml-4-15024/,https://media.366.ru/sys_master/product/h0f/hda/8825406029854.jpg
Бактериофаг синегнойный жидкий раствор 100мл,"МИКРОГЕН, РоссияБактериофаг синегнойной палочки",Бактериофаг синегнойной палочки,None,1 100 ₽,https://366.ru/p/bakteriofag-sinegnojn-zhid-rr-100ml-15023/,https://media.366.ru/sys_master/product/h57/h45/8817426006046.jpg
"Бронхо-ваксом капсулы 3,5 мг 10 шт","САНДОЗ, Швейцария",None,None,745 ₽,https://366.ru/p/bronkhovaksom-detskij-kaps-3-5mg-10-15541/,https://media.366.ru/sys_master/product/hae/h22/8818177966110.jpg
