Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Гидроксихлорохин таблетки 200 мг 30 шт,"БИОКОМ, РоссияГидроксихлорохин",Гидроксихлорохин,None,1 130 ₽,https://366.ru/p/gidroksikhlorokhin-tabl-pok-p-o-200mg30-208882/,https://media.366.ru/sys_master/images/h80/h34/9673719447582.jpg
Суматролид Солюшн Таблетс таблетки 500 мг 3 шт,"Озон, РоссияАзитромицин",Азитромицин,None,270 ₽,https://366.ru/p/sumatrolid-soljushn-tablets-500mg-3-56226/,https://media.366.ru/sys_master/product/hcf/hc7/8817151606814.jpg
Кларитромицин Верте таблетки покрытые оболочкой 500мг N14,"ВЕРТЕКС, РоссияКларитромицин",Кларитромицин,None,569 ₽,https://366.ru/p/klaritromicin-tab-p-pl-ob-500mg-14-39842/,https://media.366.ru/sys_master/product/heb/h9b/8821332508702.jpg
Кларитромицин капсулы 250 мг 14 шт,"ВЕРТЕКС, РоссияКларитромицин",Кларитромицин,None,248 ₽,https://366.ru/p/klaritromicinverte-kaps-250mg-14-37543/,https://media.366.ru/sys_master/product/h43/h1a/8820708769822.jpg
Кларитромицин-OBL таблетки 500 мг 14 шт,ОБОЛЕНСКОЕ ФПКларитромицин,Кларитромицин,None,529 ₽,https://366.ru/p/klaritromicinobl-tab-p-pl-ob-500mg-14-39653/,https://media.366.ru/sys_master/product/hfa/haa/8816500637726.jpg
Абактал таблетки покрытые оболочкой 400 мг 10 шт,"САНДОЗ, РоссияПефлоксацин",Пефлоксацин,None,392 ₽,https://366.ru/p/abaktal-tab-400mg-10-1314/,https://media.366.ru/sys_master/product/h6f/hae/8817411227678.jpg
Азитромицин Верте капсулы 250 мг 6 шт,"ВЕРТЕКС, РоссияАзитромицин",Азитромицин,None,106 ₽,https://366.ru/p/azitromicinverte-kaps-250mg-6-1386/,https://media.366.ru/sys_master/product/h33/h9e/8818726699038.jpg
"Амоксиклав порошок 125 мг + 31,25 мг 25 г","САНДОЗ, СловенияАмоксициллин + Клавулановая кислота",Амоксициллин + Клавулановая кислота,None,128 ₽,https://366.ru/p/amoksiklav-por-d-susp-156mg-5ml-100ml-1610/,https://media.366.ru/sys_master/product/h0f/h68/8818141954078.jpg
Амоксиклав таблетки 500 мг + 125 мг 15 шт,"САНДОЗ, СловенияАмоксициллин + Клавулановая кислота",Амоксициллин + Клавулановая кислота,None,416 ₽,https://366.ru/p/amoksiklav-tab-p-pl-ob-625mg-15-1614/,https://media.366.ru/sys_master/product/hc1/hd8/8818143559710.jpg
"Амоксиклав 0,875 + 0,125 таблетки 14 шт","САНДОЗ, СловенияАмоксициллин + Клавулановая кислота",Амоксициллин + Клавулановая кислота,None,440 ₽,https://366.ru/p/amoksiklav-tab-p-pl-ob-875mg-125mg-14-1612/,https://media.366.ru/sys_master/product/hc5/he6/8818141724702.jpg
Бисептол таблетки 120 мг 20 шт,"ПОЛЬФА, ПольшаКо-тримоксазол [Сульфаметоксазол + Триметоприм]",Ко-тримоксазол [Сульфаметоксазол + Триметоприм],None,37 ₽,https://366.ru/p/biseptol-tab-120mg-20-2521/,https://media.366.ru/sys_master/product/h9f/h7d/8818342428702.jpg
Бициллин-3 порошок для приготовления суспензии 600000ед,"СИНТЕЗ АКО, РоссияБензатина бензилпенициллин",Бензатина бензилпенициллин,None,107 ₽,https://366.ru/p/bicillin3-por-d-i-600tys-ed-1-2564/,https://media.366.ru/sys_master/product/h3c/h56/8818191040542.jpg
"Бициллин-5 порошок для приготовления суспензии 1,5млн ед","СИНТЕЗ АКО, РоссияБензатина бензилпенициллин",Бензатина бензилпенициллин,None,172 ₽,https://366.ru/p/bicillin5-por-d-susp-v-m-1500tys-ed-1-2566/,https://media.366.ru/sys_master/product/h18/h9c/8818191269918.jpg
Зиннат гранулы для приготовления суспензии 125мг/5мл 50мл,"GlaxoSmith Kline Healthcare, ВеликобританияЦефуроксим",Цефуроксим,None,310 ₽,https://366.ru/p/zinnat-gran-d-prig-susp-125mg-5ml-50ml-4440/,https://media.366.ru/sys_master/product/hee/hbf/8901452791838.jpg
Клион таблетки 250 мг 20 шт,"Гедеон Рихтер, РоссияМетронидазол",Метронидазол,None,87 ₽,https://366.ru/p/klion-tab-250mg-20-5112/,https://media.366.ru/sys_master/product/h1d/h69/8817029218334.jpg
Линкомицина гидрохлорид раствор ампулы 30% 1 мл 10 шт,"БЕЛМЕДПРЕПАРАТЫ, БеларусьЛинкомицин",Линкомицин,None,147 ₽,https://366.ru/p/linkomicina-g-kh-rr-d-inf-30-1ml-amp10-5931/,https://media.366.ru/sys_master/product/hbd/hba/8820368801822.jpg
Линкомицина гидрохлорид капсулы 250 мг 20 шт,"ТЮМЕНСКИЙ ХФЗ, РоссияЛинкомицин",Линкомицин,None,109 ₽,https://366.ru/p/linkomicin-kaps-250mg-20-5937/,https://media.366.ru/sys_master/product/h5e/h34/8901468389406.jpg
Макропен порошок 175 мг/5 мл 115 мл,"РОСТА, СловенияМидекамицин",Мидекамицин,None,704 ₽,https://366.ru/p/makropen-gran-d-susp-175mg-5ml-115ml-6097/,https://media.366.ru/sys_master/product/h27/h03/8818277515294.jpg
Метрогил раствор для инъекций 5 мг/мл 100 мл,"ЮНИК, ИндияМетронидазол",Метронидазол,None,"28,50 ₽",https://366.ru/p/metrogil-rr-v-v-5mg-ml-fl-100ml-6308/,https://media.366.ru/sys_master/product/h8d/hf1/8818354126878.jpg
Нолицин таблетки 400 мг 10 шт,"KRKA, СловенияНорфлоксацин",Норфлоксацин,None,332 ₽,https://366.ru/p/nolicin-tab-p-pl-ob-400mg-10-7095/,https://media.366.ru/sys_master/product/hf0/h02/8821035040798.jpg
Нолицин таблетки покрытые оболочкой 400 мг 20 шт,"KRKA, СловенияНорфлоксацин",Норфлоксацин,None,557 ₽,https://366.ru/p/nolicin-tab-p-pl-ob-400mg-20-7097/,https://media.366.ru/sys_master/product/h8f/he4/8820766474270.jpg
Норбактин таблетки 400 мг 10 шт,"РАНБАКСИ, ИндияНорфлоксацин",Норфлоксацин,None,308 ₽,https://366.ru/p/norbaktin-tab-400mg-10-7112/,https://media.366.ru/sys_master/product/h19/h61/8818058854430.jpg
"Нормакс капли глазные и ушные 0,3% флакон 5 мл","ИПКА ЛАБ., ИндияНорфлоксацин",Норфлоксацин,None,270 ₽,https://366.ru/p/normaks-kapli-gl-ushn-5ml-7121/,https://media.366.ru/sys_master/product/hd2/hb7/8817322033182.jpg
