Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Вита Верде дуба кора 50 г,"Грин Сайд, Россия",None,None,71 ₽,https://366.ru/p/vita-verde-duba-kora-50g-211291/,https://media.366.ru/sys_master/product/h92/h3f/9900782682142.png
"Вита Верде имбирный чай с лимоном фильтр пакетики 1,5г 20 шт","Грин Сайд, Россия",None,None,129 ₽,https://366.ru/p/vita-verde-imbir-chaj-s-lim-f-p-1-5g20-211303/,https://media.366.ru/sys_master/product/h59/hd4/9900784975902.png
Бадяга порошок 10г,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияБадяга",Бадяга,None,92 ₽,https://366.ru/p/badjaga-poroshok-dlja-naruzh-prim-10g-35757/,https://media.366.ru/sys_master/product/h72/h76/8818210308126.jpg
Вита Верде календула цветки 50 г,"Грин Сайд, Россия",None,None,95 ₽,https://366.ru/p/vita-verde-kalendula-cvetki-50g-211296/,
"Вита Верде череда трава фильтр пакетики 1,5 г 20 шт","Грин Сайд, Россия",None,None,79 ₽,https://366.ru/p/vita-verde-chereda-trava-f-p-1-5g-20-211294/,https://media.366.ru/sys_master/product/h0e/he5/9845751185438.jpg
Аира корневище 75 г,"ЕВРОПЛАНТ, РоссияАира корневища",Аира корневища,None,151 ₽,https://366.ru/p/aira-kshhe-75g-1391/,https://media.366.ru/sys_master/product/h3b/h17/9718311157790.png
"Аира корневище фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияАира корневища",Аира корневища,None,108 ₽,https://366.ru/p/aira-kshhe-f-p-1-5g-20-1393/,https://media.366.ru/sys_master/product/h3c/hb4/9718311616542.png
Алтея корни 75 г,"ЕВРОПЛАНТ, РоссияАлтея лекарственного корни",Алтея лекарственного корни,None,170 ₽,https://366.ru/p/alteja-korni-75g-1512/,https://media.366.ru/sys_master/product/h8e/h06/9718312075294.png
Багульник болотный побеги 50 г,"ЕВРОПЛАНТ, РоссияБагульника болотного побеги",Багульника болотного побеги,None,109 ₽,https://366.ru/p/bagulnika-pobegi-50g-2170/,https://media.366.ru/sys_master/product/h06/hd2/9718312534046.png
Бессмертник песчаный цветки 30 г,"ЕВРОПЛАНТ, РоссияБессмертника песчаного цветки",Бессмертника песчаного цветки,None,125 ₽,https://366.ru/p/bessmertnika-cvetki-30g-2345/,https://media.366.ru/sys_master/product/h2a/he6/9718312992798.png
