Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Виагра таблетки 25 мг 1 шт,"Пфайзер+, ФранцияСилденафил",Силденафил,None,807 ₽,https://366.ru/p/viagra-tab-p-pl-ob-25mg-1-3052/,https://media.366.ru/sys_master/product/h1e/h50/9204856356894.jpg
Виагра таблетки 100 мг 12 шт,"Пфайзер+, ФранцияСилденафил",Силденафил,None,6 898 ₽,https://366.ru/p/viagra-tab-p-pl-ob-100mg-12-67616/,https://media.366.ru/sys_master/product/h60/h17/9204861042718.jpg
Виагра таблетки 50 мг 4 шт,"Пфайзер+, ФранцияСилденафил",Силденафил,None,2 941 ₽,https://366.ru/p/viagra-tab-p-pl-ob-50mg-4-3054/,https://media.366.ru/sys_master/product/hb1/h54/9204857536542.jpg
Виагра таблетки диспергируемые 50 мг 4 шт,"Пфайзер+, Франция",None,None,2 412 ₽,https://366.ru/p/viagra-tabl-disper-50mg-4-204116/,https://media.366.ru/sys_master/product/he6/hcb/9204852359198.jpg
Виагра таблетки 100 мг 2 шт,"Пфайзер+, ФранцияСилденафил",Силденафил,None,1 855 ₽,https://366.ru/p/viagra-tab-p-pl-ob-100mg-2-28509/,https://media.366.ru/sys_master/product/h3f/hdb/9204859109406.jpg
Виагра таблетки 50 мг 2 шт,"Пфайзер+, ФранцияСилденафил",Силденафил,None,1 564 ₽,https://366.ru/p/viagra-tab-p-pl-ob-50mg-2-28508/,https://media.366.ru/sys_master/product/h47/he9/9204858552350.jpg
Виагра таблетки 50 мг 1 шт,"Пфайзер+, ФранцияСилденафил",Силденафил,None,904 ₽,https://366.ru/p/viagra-tab-p-pl-ob-50mg-1-3053/,https://media.366.ru/sys_master/product/h34/hfe/9205581021214.jpg
Виагра таблетки 100 мг 4 шт,"Пфайзер+, ФранцияСилденафил",Силденафил,None,3 536 ₽,https://366.ru/p/viagra-tab-p-pl-ob-100mg-4-3051/,https://media.366.ru/sys_master/product/h86/h58/9204855406622.jpg
Виагра таблетки 50 мг 12 шт,"Пфайзер+, ФранцияСилденафил",Силденафил,None,5 556 ₽,https://366.ru/p/viagra-tab-p-pl-ob-50mg-12-45205/,https://media.366.ru/sys_master/product/ha3/hbf/9204860059678.jpg
Виагра таблетки 100 мг 1 шт,"Пфайзер+, ФранцияСилденафил",Силденафил,None,1 061 ₽,https://366.ru/p/viagra-tab-p-pl-ob-100mg-1-3050/,https://media.366.ru/sys_master/product/h07/hf5/9204854718494.jpg
Витапрост суппозитории ректальные 10 шт,"НИЖФАРМ, РоссияПростаты экстракт",Простаты экстракт,None,1 337 ₽,https://366.ru/p/vitaprost-supp-rekt-10-3190/,https://media.366.ru/sys_master/product/ha8/hdf/10106783170590.png
Канефрон H драже 60 шт,"Bionorica, ГерманияИзмельченное сырье золотысячника травы + корня любистока лекарственного + листьев розмарина",Измельченное сырье золотысячника травы + корня любистока лекарственного + листьев розмарина,None,694 ₽,https://366.ru/p/kanefron-n-dr-60-4853/,https://media.366.ru/sys_master/product/h1a/hd2/8816910729246.jpg
Канефрон Н капли 100 мл,"Bionorica, ГерманияИзмельченное сырье золотысячника травы + корня любистока лекарственного + листьев розмарина",Измельченное сырье золотысячника травы + корня любистока лекарственного + листьев розмарина,None,607 ₽,https://366.ru/p/kanefron-n-kapli-100ml-4854/,https://media.366.ru/sys_master/product/hcf/h7a/9667010396190.png
Левитра таблетки 20 мг 4 шт,"БАЙЕР, ГерманияВарденафил",Варденафил,None,4 063 ₽,https://366.ru/p/levitra-tab-p-o-20mg-4-5727/,https://media.366.ru/sys_master/product/hda/hb2/8818263752734.jpg
Леспефлан раствор для приема внутрь флакон 100 мл,"ДАЛЬХИМФАРМ, РоссияЛеспедезы двухцветной побеги",Леспедезы двухцветной побеги,None,301 ₽,https://366.ru/p/lespeflan-rr-100ml-5877/,https://media.366.ru/sys_master/product/h72/h5e/8820196933662.jpg
Монурал порошок для раствора саше 3 г 1 шт,"ZAMBON GROUP, ШвейцарияФосфомицин",Фосфомицин,None,720 ₽,https://366.ru/p/monural-gran-d-prig-rra-pak-3g-1-6539/,https://media.366.ru/sys_master/product/h47/hed/9447458603038.jpg
Монурал гранулы саше 2 г 1 шт,"ZAMBON GROUP, ШвейцарияФосфомицин",Фосфомицин,None,513 ₽,https://366.ru/p/monural-gran-2g-1-6538/,https://media.366.ru/sys_master/product/h40/h47/9447458144286.jpg
Монурал порошок для раствора пакетики 3 г 2 шт,"ZAMBON GROUP, ИталияФосфомицин",Фосфомицин,None,1 087 ₽,https://366.ru/p/monural-por-d-susp-3g-2-6540/,https://media.366.ru/sys_master/product/h7f/hef/9447459061790.jpg
Омник капсулы 400мкг N30,"АСТЕЛЛАС ФАРМА, РоссияТамсулозин",Тамсулозин,None,778 ₽,https://366.ru/p/omnik-kaps-s-modificir-vysv-0-4mg-30-7278/,https://media.366.ru/sys_master/product/h73/h73/8818783813662.jpg
Пермиксон капсулы 160 мг 30 шт,"Пьер Фабр+, ФранцияПальмы ползучей плодов экстракт",Пальмы ползучей плодов экстракт,None,1 088 ₽,https://366.ru/p/permikson-kaps-160mg-30-7637/,https://media.366.ru/sys_master/product/h6e/h31/8818305957918.jpg
Простаплант капсулы 30 шт,"Dr. Willmar Schwabe, ГерманияПальмы ползучей плодов экстракт",Пальмы ползучей плодов экстракт,None,747 ₽,https://366.ru/p/prostaplant-kaps-30-8679/,https://media.366.ru/sys_master/product/he8/h4c/8818306875422.jpg
Сампрост лиофилизат порошок 5 мг 10 шт,"САМСОН-МЕД, РоссияПростаты экстракт",Простаты экстракт,None,610 ₽,https://366.ru/p/samprost-liof-por-5mg-10-9225/,https://media.366.ru/sys_master/product/hab/h14/8818467438622.jpg
Сетегис таблетки 2 мг 30 шт,"ЭГИС, ВенгрияТеразозин",Теразозин,None,1 075 ₽,https://366.ru/p/setegis-tab-2mg-30-9327/,https://media.366.ru/sys_master/product/h23/h49/9935836479518.jpg
Сетегис таблетки 5 мг 30 шт,"ЭГИС, ВенгрияТеразозин",Теразозин,None,1 594 ₽,https://366.ru/p/setegis-tab-5mg-30-9328/,https://media.366.ru/sys_master/product/h50/hc4/9935837200414.jpg
Спазмекс таблетки 5 мг 30 шт,"Д-Р Р. ПФЛЕГЕР, ГерманияТроспия хлорид",Троспия хлорид,None,508 ₽,https://366.ru/p/spazmeks-tab-5mg-30-9609/,https://media.366.ru/sys_master/product/h61/hbd/8818081366046.jpg
Уролесан капли для приема внутрь 25 мл,"ГАЛИЧФАРМ, УкраинаДушицы обыкновенной травы экстракт+Клещевины обыкновенной семян масло+Моркови дикой семян экстракт+Мяты перечной листьев масло+Пихты масло+Хмеля сопло",Душицы обыкновенной травы экстракт+Клещевины обыкновенной семян масло+Моркови дикой семян экстракт+Мяты перечной листьев масло+Пихты масло+Хмеля сопло,None,437 ₽,https://366.ru/p/urolesan-kapli-d-pr-vnutr-flkap-25ml-10468/,https://media.366.ru/sys_master/product/hf6/h5b/8815853502494.jpg
Фитолизин паста 100 г,"АКРИХИН, ПольшаЭкстракты сгущенные растений + масла",Экстракты сгущенные растений + масла,None,662 ₽,https://366.ru/p/fitolizin-pasta-d-prig-susp-100g-10695/,https://media.366.ru/sys_master/product/h85/hda/9736960311326.jpg
Фурагин таблетки 30 шт,"ОБОЛЕНСКОЕ ФП, РоссияФуразидин",Фуразидин,None,278 ₽,https://366.ru/p/furaginobl-tab-50mg-30-10857/,https://media.366.ru/sys_master/product/h28/h6d/8821426880542.jpg
Фуразолидон таблетки 10 шт,"АНЖЕРО-СУДЖЕНСКИЙ ХФЗ, БеларусьФуразолидон",Фуразолидон,None,88 ₽,https://366.ru/p/furazolidon-tab-50mg-10-10865/,https://media.366.ru/sys_master/product/h16/h23/8815871098910.jpg
Фурадонин авексима таблетки 50мг N10,"ИРБИТСКИЙ ХФЗ, РоссияНитрофурантоин",Нитрофурантоин,None,103 ₽,https://366.ru/p/furadonin-tab-50mg-10-10862/,https://media.366.ru/sys_master/product/hfa/h83/8818674335774.jpg
Цистон таблетки 100 шт,"ХИМАЛАЙЯ, ИндияЭкстракты цветков двуплодника стебелькового + стеблей камнеломки язычковой + стеблей марены сердцелистной и др",Экстракты цветков двуплодника стебелькового + стеблей камнеломки язычковой + стеблей марены сердцелистной и др,None,679 ₽,https://366.ru/p/ciston-tab-100-11171/,https://media.366.ru/sys_master/product/h51/h84/8817394941982.jpg
Дальфаз ретард таблетки покрытые оболочкой 5мг N56,"САНОФИ, ФранцияАлфузозин",Алфузозин,None,1 969 ₽,https://366.ru/p/dalfaz-retard-tab-p-o-5mg-56-12721/,https://media.366.ru/sys_master/product/hf3/hb3/8817407197214.jpg
Спазмекс таблетки 15 мг 30 шт,"Д-Р Р. ПФЛЕГЕР, ГерманияТроспия хлорид",Троспия хлорид,None,591 ₽,https://366.ru/p/spazmeks-tab-p-pl-ob-15mg-30-13075/,https://media.366.ru/sys_master/product/h43/h53/8815916056606.jpg
Импаза таблетки 20 шт,"МАТЕРИА МЕДИКА, РоссияАнтитела к эндотелиальной NO-синтазе",Антитела к эндотелиальной NO-синтазе,None,681 ₽,https://366.ru/p/impaza-tab-20-13438/,https://media.366.ru/sys_master/product/hd7/h07/8817414045726.jpg
Калимин 60 Н таблетки 60 мг 100 шт,"ТЕВА, ГерманияПиридостигмина бромид",Пиридостигмина бромид,None,864 ₽,https://366.ru/p/kalimin-60-n-tab-60mg-100-13582/,https://media.366.ru/sys_master/product/hec/h2d/8818175442974.jpg
Доксазозин таблетки 2 мг 20 шт,"Белупо Лтд., РоссияДоксазозин",Доксазозин,None,197 ₽,https://366.ru/p/doksazozin-tab-2mg-20-13999/,https://media.366.ru/sys_master/product/h6c/ha0/9188876550174.jpg
Фурамаг капсулы 50 мг 30 шт,"ОЛАЙНФАРМ, ЛатвияФуразидин",Фуразидин,None,904 ₽,https://366.ru/p/furamag-kaps-50mg-30-14203/,https://media.366.ru/sys_master/product/h31/h71/8817419517982.jpg
