Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Зубные капли 10 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияВалерианы лекарственной корневищ с корнями настойка + Камфора + Мяты перечной листьев масло",Валерианы лекарственной корневищ с корнями настойка + Камфора + Мяты перечной листьев масло,None,41 ₽,https://366.ru/p/zubnye-kapli-10ml-4477/,https://media.366.ru/sys_master/product/h52/h1b/8859423735838.jpg
Глицин-биотики таблетки лингвальные 100мг N50,"БИОТИКИ МНПК, РоссияГлицин",Глицин,None,35 ₽,https://366.ru/p/glicin-tab-podjazychnye-100mg-50-43915/,https://media.366.ru/sys_master/product/h95/hbc/8816755605534.jpg
Пустырника настойка 25 мл,"ИВАНОВСКАЯ ФАРМАЦЕВИЧЕСКАЯ ФАБРИКА ОАО, Россия",None,None,41 ₽,https://366.ru/p/pustyrnika-nka-25ml-8718/,https://media.366.ru/sys_master/product/h22/h45/9518071906334.jpg
Хлорпротиксен таблетки 50 мг 30 шт,"ФАРМПРОЕКТ, РоссияХлорпротиксен",Хлорпротиксен,None,386 ₽,https://366.ru/p/khlorprotiksen-tab-p-o-50mg-n30-198705/,https://media.366.ru/sys_master/product/hf6/h9c/9121778204702.jpg
Глицин- Биотики таблетки 100 мг 100 шт,Россия,None,None,71 ₽,https://366.ru/p/glicin-biotiki-tabl-podjaz-100mg-100-194110/,https://media.366.ru/sys_master/product/h17/hc1/9695667847198.jpg
Пиона настойка 25мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияПиона уклоняющегося трава, корневища и корни","Пиона уклоняющегося трава, корневища и корни",None,"25,50 ₽",https://366.ru/p/piona-nka-25ml-25473/,https://media.366.ru/sys_master/product/haa/h31/8816076292126.jpg
Боярышника настойка 25 мл,РоссияБоярышника листьев и цветков экстракт,Боярышника листьев и цветков экстракт,None,34 ₽,https://366.ru/p/bojaryshnika-nastojka-25ml-206527/,https://media.366.ru/sys_master/product/h6a/h4f/9383752564766.jpg
Хлорпротиксен таблетки 15 мг 30 шт,"ФАРМПРОЕКТ, РоссияХлорпротиксен",Хлорпротиксен,None,242 ₽,https://366.ru/p/khlorprotiksen-tab-p-o-15mg-n30-198706/,https://media.366.ru/sys_master/product/h97/h03/9121812906014.jpg
Валерианы настойка 25мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияВалерианы лекарственной корневища с корнями",Валерианы лекарственной корневища с корнями,None,105 ₽,https://366.ru/p/valeriany-nka-25ml-2846/,https://media.366.ru/sys_master/product/h82/hd1/8820116357150.jpg
Вита Верде успокоит сбор №2 фильтр пакетики 2 г 20 шт,"Грин Сайд, Россия",None,None,88 ₽,https://366.ru/p/vita-verde-uspokoit-sbor-2-f-p-2g-20-211297/,https://media.366.ru/sys_master/product/hc5/h2b/9845751644190.jpg
