Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Кальцемин Адванс таблетки 60 шт,"БАЙЕР, Соединенные Штаты АмерикиПоливитамины + Минералы",Поливитамины + Минералы,None,836 ₽,https://366.ru/p/kalcemin-advans-tab-p-o-60-44598/,https://media.366.ru/sys_master/product/h92/h66/8818325684254.jpg
Аторвастатин-Верте таблетки 20 мг 90 шт,"ВЕРТЕКС, Россия",None,None,963 ₽,https://366.ru/p/atorvastatinverte-tab-p-o-20mg-90-66248/,https://media.366.ru/sys_master/product/h21/he3/9720193777694.jpg
Аторвастатин таблетки 10 мг 90 шт,"ВЕРТЕКС, Россия",None,None,640 ₽,https://366.ru/p/atorvastatin-tabl-p-o-10mg-90-209278/,https://media.366.ru/sys_master/product/h38/h77/9708248662046.jpg
Розувастатин-Вертекс таблетки 10 мг 30 шт,"ВЕРТЕКС, Россия",None,None,630 ₽,https://366.ru/p/rozuvastatinverteks-tab-p-p-ob-10mg-30-209282/,https://media.366.ru/sys_master/product/h6c/h20/9708249808926.jpg
Аторвастатин Верте таблетки 20 мг 30 шт,"ВЕРТЕКС, РоссияАторвастатин",Аторвастатин,None,423 ₽,https://366.ru/p/atorvastatinverte-tab-p-o-20mg-30-45758/,https://media.366.ru/sys_master/product/hd3/h7f/8816867868702.jpg
Аторвастатин таблетки 10 мг 30 шт,"ВЕРТЕКС, РоссияАторвастатин",Аторвастатин,None,310 ₽,https://366.ru/p/atorvastatinverte-tab-p-o-10mg-30-45757/,https://media.366.ru/sys_master/product/h68/h11/8816867377182.jpg
Орсотен капсулы 120 мг 84 шт,"KRKA, РоссияОрлистат",Орлистат,None,3 484 ₽,https://366.ru/p/orsoten-kaps-120mg-84-31667/,https://media.366.ru/sys_master/product/ha0/hd5/8816193798174.jpg
Розувастатин-Вертекс таблетки 5 мг 30 шт,"ВЕРТЕКС, Россия",None,None,369 ₽,https://366.ru/p/rozuvastatinverteks-tab-p-p-ob-5mg-30-209281/,https://media.366.ru/sys_master/product/h9b/ha4/9708249350174.jpg
Розувастатин-Вертекс таблетки 20 мг 30 шт,"ВЕРТЕКС, Россия",None,None,819 ₽,https://366.ru/p/rozuvastatinverteks-tab-p-p-ob-20mg-30-209284/,https://media.366.ru/sys_master/product/h77/h72/9708250726430.jpg
Розувастатин-Вертекс таблетки 10 мг 90 шт,"ВЕРТЕКС, Россия",None,None,1 332 ₽,https://366.ru/p/rozuvastatinverteks-tab-p-p-ob-10mg-90-209283/,https://media.366.ru/sys_master/product/h60/hc4/9708250267678.jpg
Редуксин капсулы 15 мг 60 шт,"МЕДПРО, РоссияСибутрамин + [Целлюлоза микрокристаллическая]",Сибутрамин + [Целлюлоза микрокристаллическая],None,6 071 ₽,https://366.ru/p/reduksin-kaps-15mg-n60-30179/,https://media.366.ru/sys_master/product/hee/h16/8821187575838.jpg
Розарт таблетки 20 мг 90 шт,"АКТАВИС, МальтаРозувастатин",Розувастатин,None,2 416 ₽,https://366.ru/p/rozart-tab-p-pl-ob-20mg-90-42678/,https://media.366.ru/sys_master/product/hfe/he2/9836181684254.jpg
Липримар таблетки 10 мг 30 шт,"Пфайзер+, ИрландияАторвастатин",Аторвастатин,None,231 ₽,https://366.ru/p/liprimar-tab-p-pl-ob-10mg-30-5953/,https://media.366.ru/sys_master/product/hbe/h52/8901470552094.jpg
Липримар таблетки 10 мг 100 шт,"Пфайзер+, ГерманияАторвастатин",Аторвастатин,None,690 ₽,https://366.ru/p/liprimar-tab-p-pl-ob-10mg-100-42754/,https://media.366.ru/sys_master/product/h89/h75/8816669786142.jpg
Липримар таблетки 40 мг 30 шт,"Пфайзер+, ГерманияАторвастатин",Аторвастатин,None,582 ₽,https://366.ru/p/liprimar-tab-p-pl-ob-40mg-30-42752/,https://media.366.ru/sys_master/product/he2/h8c/8816668803102.jpg
Липримар табл.п.о. 20мг n100,"Пфайзер+, РоссияАторвастатин",Аторвастатин,None,1 376 ₽,https://366.ru/p/liprimar-tab-p-pl-ob-20mg-100snizh-31454/,https://media.366.ru/sys_master/product/h91/hdd/9316543496222.jpg
Липримар таблетки 20 мг 30 шт,"Пфайзер+, ГерманияАторвастатин",Аторвастатин,None,469 ₽,https://366.ru/p/liprimar-tab-p-pl-ob-20mg-30-42882/,https://media.366.ru/sys_master/product/h1f/he6/8818085068830.jpg
"Альфа Д3 капсулы 0,25 мкг 30 шт","ТЕВА, ГерманияАльфакальцидол",Альфакальцидол,None,350 ₽,https://366.ru/p/alfa-d3teva-kaps-0-25mkg-30-1537/,https://media.366.ru/sys_master/product/h50/h15/8815948169246.jpg
"Альфа Д-3 Тева капсулы 0,25 мкг 60 шт","ТЕВА, ИзраильАльфакальцидол",Альфакальцидол,None,577 ₽,https://366.ru/p/alfa-d3teva-kaps-0-25mkg-60-1538/,https://media.366.ru/sys_master/product/h27/h47/8818315132958.jpg
Альфадол-Ca капсулы 30 шт,"ПАНАЦЕЯ БИОТЕК, ИндияАльфакальцидол + Кальция карбонат",Альфакальцидол + Кальция карбонат,None,669 ₽,https://366.ru/p/alfadolsa-kaps-30-1540/,https://media.366.ru/sys_master/product/hae/hc0/8818368577566.jpg
Кальцемин таблетки 30 шт,"БАЙЕР, Соединенные Штаты АмерикиПоливитамины + Минералы",Поливитамины + Минералы,None,472 ₽,https://366.ru/p/kalcemin-tab-p-o-30-4772/,https://media.366.ru/sys_master/product/h2f/he3/8816897294366.jpg
Кальций Д3 Никомед Форте таблетки лимон 500 мг 120 шт,"ТАКЕДА ФАРМАСЬЮТИКАЛС, НорвегияКальция карбонат + Колекальциферол",Кальция карбонат + Колекальциферол,None,872 ₽,https://366.ru/p/kalcij-d3-nikomed-forte-tab-zhev-120-4781/,https://media.366.ru/sys_master/product/h23/h04/10106813579294.png
