Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
"Золадекс капсулы для подкожного введения 10,8 мг 1 шт","AstraZeneca, ВеликобританияГозерелин",Гозерелин,None,13 970 ₽,https://366.ru/p/zoladeks-kaps-prolong-d-in-10-8mg-1-4457/,https://media.366.ru/sys_master/product/h14/hf7/8818243797022.jpg
"Золадекс капсулы для подкожного введения 3,6 мг 1 шт","AstraZeneca, РоссияГозерелин",Гозерелин,None,4 540 ₽,https://366.ru/p/zoladeks-kaps-prolong-d-in-3-6mg-1-4458/,https://media.366.ru/sys_master/product/h66/hf3/8820485160990.jpg
"Латран раствор 0,2% 2 мл ампулы 5 шт","ПРОФИТ ФАРМ, РоссияОндансетрон",Ондансетрон,None,169 ₽,https://366.ru/p/latran-rr-v-v-v-m-0-2-2ml-amp-5-5719/,https://media.366.ru/sys_master/product/h0a/hd5/8817983356958.jpg
Латран таблетки 4 мг 10 шт,"ПРОФИТ ФАРМ, РоссияОндансетрон",Ондансетрон,None,396 ₽,https://366.ru/p/latran-tab-p-o-4mg-10-5721/,https://media.366.ru/sys_master/product/h5b/hdd/8817983848478.jpg
Латран раствор ампулы 4 мл 5 шт,"ПРОФИТ ФАРМ, РоссияОндансетрон",Ондансетрон,None,266 ₽,https://366.ru/p/latran-rr-v-v-v-m-0-2-4ml-amp-5-5720/,https://media.366.ru/sys_master/product/hc6/hcd/8818263523358.jpg
Тамоксифен гексал таблетки 20 мг 30 шт,"САНДОЗ, ГерманияТамоксифен",Тамоксифен,None,177 ₽,https://366.ru/p/tamoksifen-tab-20mg-30-9915/,https://media.366.ru/sys_master/product/hcd/h2f/9199764045854.jpg
Фарестон таблетки 60 мг 60 шт,"ОРИОН ФАРМА, ФинляндияТоремифен",Торемифен,None,6 877 ₽,https://366.ru/p/fareston-tab-60mg-60-10528/,https://media.366.ru/sys_master/product/h79/hae/8818290589726.jpg
Фарестон таблетки 20 мг 30 шт,"ОРИОН ФАРМА, ФинляндияТоремифен",Торемифен,None,2 723 ₽,https://366.ru/p/fareston-tab-20mg-30-10527/,https://media.366.ru/sys_master/product/hd5/hb1/8818450006046.jpg
Флутамид таблетки 250 мг 84 шт,"САНДОЗ, ФинляндияФлутамид",Флутамид,None,1 984 ₽,https://366.ru/p/flutamid-tab-250mg-84-10763/,https://media.366.ru/sys_master/product/h53/h3d/8820499808286.jpg
Гемзар лиофилизат для раствора 200 мг флакон 1 шт,"Lilly France, ГрецияГемцитабин",Гемцитабин,None,1 181 ₽,https://366.ru/p/gemzar-liof-d-prig-rra-d-inf-200mg-fl1-13697/,https://media.366.ru/sys_master/product/h8c/h07/8818525470750.jpg
Гемзар лиофилизат для приготовления раствора для инфузий 1 г флакон 1 шт,"Lilly France, Соединенные Штаты АмерикиГемцитабин",Гемцитабин,None,5 139 ₽,https://366.ru/p/gemzar-liof-d-prig-rra-d-inf-1g-fl-1-13698/,https://media.366.ru/sys_master/product/h77/h22/8818525241374.jpg
Калумид таблетки 50 мг 30 шт,"Гедеон Рихтер, ВенгрияБикалутамид",Бикалутамид,None,1 873 ₽,https://366.ru/p/kalumid-tab-p-pl-ob-50mg-30-20067/,https://media.366.ru/sys_master/product/h61/h2e/8818398396446.jpg
Эменд набор капсулы 125 мг 1 шт + 80 мг 2 шт,"МСД ФАРМАСЬЮТИКАЛС, НидерландыАпрепитант",Апрепитант,None,5 029 ₽,https://366.ru/p/emend-kaps-125mg-1-80mg-2-25814/,https://media.366.ru/sys_master/product/h88/heb/8839545716766.jpg
