Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Глюкоза раствор для инъекций ампулы 40% 10 мл 10 шт,"БИОТЭК, РоссияДекстроза",Декстроза,None,56 ₽,https://366.ru/p/gljukoza-rr-v-v-40-10ml-amp-10-3645/,https://media.366.ru/sys_master/product/h1e/hbf/8818743443486.jpg
Кофеин бензоат натрия таблетки 100 мг 6 шт,"ТАТХИМФАРМПРЕПАРАТЫ, РоссияКофеин",Кофеин,None,53 ₽,https://366.ru/p/kofeinbenzoat-natrija-tab-100mg-6-5380/,https://media.366.ru/sys_master/product/h11/h56/8820506984478.jpg
Кофеин бензоат натрия раствор 20% ампулы 1 мл 10 шт,"ДАЛЬХИМФАРМ, БеларусьКофеин",Кофеин,None,50 ₽,https://366.ru/p/kofeinbenzoat-natrija-amp-20-1ml-10-5377/,https://media.366.ru/sys_master/product/h8a/hd0/8820753170462.jpg
Маннит раствор для инфузий 15% 200 мл,"МЕДПРО, РоссияМаннитол",Маннитол,None,99 ₽,https://366.ru/p/mannit-rr-d-inf-15-200ml-6121/,https://media.366.ru/sys_master/product/h30/h58/8820887322654.jpg
"Наропин раствор для инъекций 7,5мг/мл 10мл ампулы N5","АСПЕН ФАРМА, ШвецияРопивакаин",Ропивакаин,None,1 124 ₽,https://366.ru/p/naropin-rr-d-in-7-5mg-ml-10ml-amp-5-6775/,https://media.366.ru/sys_master/product/ha3/h90/8818541068318.jpg
Наропин раствор для инъекций 10 мг/мл 10 мл ампулы 5 шт,"АСПЕН ФАРМА, ШвецияРопивакаин",Ропивакаин,None,1 499 ₽,https://366.ru/p/naropin-rr-d-in-10mg-ml-10ml-amp-5-6774/,https://media.366.ru/sys_master/product/he2/he6/8818540380190.jpg
"Натрия хлорид ампулы 0,9% 10мл 10 шт","ГРОТЕКС, РоссияНатрия хлорид",Натрия хлорид,None,166 ₽,https://366.ru/p/natrija-khlorid-rr-d-in-amp-0-9-10ml-10-6793/,https://media.366.ru/sys_master/product/h13/h3c/9069840138270.jpg
"Натрия хлорид раствор для инъекций ампулы 0,9% 5 мл 10 шт","МЕДПРО, БеларусьНатрия хлорид",Натрия хлорид,None,43 ₽,https://366.ru/p/natrija-khlorid-rr-d-in-amp-0-9-5ml-10-6798/,https://media.366.ru/sys_master/product/h72/h06/8826788446238.jpg
Альбумин раствор для инфузий 10% 100мл,"МИКРОГЕН, РоссияАльбумин человека",Альбумин человека,None,2 167 ₽,https://366.ru/p/albumin-rr-d-inf-10-100ml-12405/,https://media.366.ru/sys_master/product/hd4/he1/8820058259486.jpg
"Реамберин раствор для инфузий флакон 1,5% 400 мл","ПОЛИСАН, РоссияМеглюмина натрия сукцинат",Меглюмина натрия сукцинат,None,270 ₽,https://366.ru/p/reamberin-rr-d-inf-1-5-400ml-12854/,https://media.366.ru/sys_master/product/h68/h14/8817408540702.jpg
Лидокаин раствор для инъекций 2% 2 мл 10 шт,"ГРОТЕКС, РоссияЛидокаин",Лидокаин,None,146 ₽,https://366.ru/p/lidokain-rr-d-in-20mg-ml-2ml-amp-10-19657/,https://media.366.ru/sys_master/product/h08/hd7/8815992864798.jpg
