Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Тералив 275 таблетки 12 шт,"БАЙЕР, РоссияНапроксен",Напроксен,None,326 ₽,https://366.ru/p/teraliv275tabl-p-o12-203730/,https://media.366.ru/sys_master/product/ha0/hcd/9158215172126.png
Тералив 275 таблетки 24 шт,"БАЙЕР, РоссияНапроксен",Напроксен,None,396 ₽,https://366.ru/p/teraliv275tabl-p-o24-203728/,https://media.366.ru/sys_master/product/h41/h5f/9158215761950.png
Ихтиол суппозитории 200 мг 10 шт,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияИхтаммол",Ихтаммол,None,99 ₽,https://366.ru/p/ikhtiol-supp-200mg-10-191089/,https://media.366.ru/sys_master/product/h32/haa/9198972502046.png
Аленталь таблетки 100 мг 20 шт,"ВЕРТЕКС, РоссияАцеклофенак",Ацеклофенак,None,280 ₽,https://366.ru/p/alental-tab-p-o-100mg-20-58163/,https://media.366.ru/sys_master/product/hd3/hbe/8826634469406.jpg
Аквацитрамон гранулы для раствора саше 3 г 5 шт,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияАцетилсалициловая кислота + Кофеин + Парацетамол",Ацетилсалициловая кислота + Кофеин + Парацетамол,None,161 ₽,https://366.ru/p/akvacitramon-gran-d-prigot-rra-3g-5-45613/,https://media.366.ru/sys_master/product/h4f/hde/8820053508126.jpg
Максиколд суспезия 100 мг/5 мл апельсин 200 мл,"Фармстандарт+, РоссияИбупрофен",Ибупрофен,None,199 ₽,https://366.ru/p/maksikold-susp-100mg-5ml-200ml-apelsin-62709/,https://media.366.ru/sys_master/product/h07/h83/8818737020958.jpg
Артрозилен гель 5% 50г,"СИ ЭС СИ ЛТД, ИталияКетопрофен",Кетопрофен,None,441 ₽,https://366.ru/p/artrozilen-gel-d-naruzh-prim-5-50g-1899/,https://media.366.ru/sys_master/product/he3/h0a/8815986409502.jpg
Аскофен П Фармстандарт таблетки N10,"Фармстандарт+, РоссияАцетилсалициловая кислота + Кофеин + Парацетамол",Ацетилсалициловая кислота + Кофеин + Парацетамол,None,43 ₽,https://366.ru/p/askofen-p-tab-10-1983/,https://media.366.ru/sys_master/product/h23/ha9/8815996370974.jpg
Аспирин С Байер таблетки шипучие 10 шт,"БАЙЕР, ГерманияАцетилсалициловая кислота + Аскорбиновая кислота",Ацетилсалициловая кислота + Аскорбиновая кислота,None,400 ₽,https://366.ru/p/aspirins-ship-tab-10-2019/,https://media.366.ru/sys_master/product/ha6/h43/8833586069534.jpg
Бекарбон таблетки 6 шт,"ТАТХИМФАРМПРЕПАРАТЫ, РоссияБелладонны листьев экстракт + Натрия гидрокарбонат",Белладонны листьев экстракт + Натрия гидрокарбонат,None,68 ₽,https://366.ru/p/bekarbon-tab-6-2248/,https://media.366.ru/sys_master/product/h61/hd5/8825493225502.jpg
Беллалгин таблетки 10 шт,"ТАТХИМФАРМПРЕПАРАТЫ, РоссияБелладонны листьев экстракт + Бензокаин + Метамизол натрия + Натрия гидрокарбонат",Белладонны листьев экстракт + Бензокаин + Метамизол натрия + Натрия гидрокарбонат,None,91 ₽,https://366.ru/p/bellalgin-tab-10-2261/,https://media.366.ru/sys_master/product/hfa/h6d/8820209549342.jpg
Белластезин таблетки 10 шт,"ТАТХИМФАРМПРЕПАРАТЫ, РоссияБелладонны листьев экстракт + Бензокаин",Белладонны листьев экстракт + Бензокаин,None,126 ₽,https://366.ru/p/bellastezin-tab-10-2266/,https://media.366.ru/sys_master/product/h5e/h26/8820853342238.jpg
Беллатаминал таблетки 30 шт,"ВИЛАР, РоссияБелладонны алкалоиды + Фенобарбитал + Эрготамин",Белладонны алкалоиды + Фенобарбитал + Эрготамин,None,171 ₽,https://366.ru/p/bellataminal-tab-p-o-30-2267/,https://media.366.ru/sys_master/product/he1/hdf/8825496141854.jpg
Брал таблетки 100 шт,"МИКРО ЛАБС, ИндияМетамизол натрия + Питофенон + Фенпивериния бромид",Метамизол натрия + Питофенон + Фенпивериния бромид,None,462 ₽,https://366.ru/p/bral-tab-100-2649/,https://media.366.ru/sys_master/product/h82/h75/8818561024030.jpg
Брал таблетки 20 шт,"МИКРО ЛАБС, ИндияМетамизол натрия + Питофенон + Фенпивериния бромид",Метамизол натрия + Питофенон + Фенпивериния бромид,None,167 ₽,https://366.ru/p/bral-tab-20-2650/,https://media.366.ru/sys_master/product/h1a/h4f/8816097493022.jpg
Бутадион мазь 5% 20 г,"Гедеон Рихтер, ВенгрияФенилбутазон",Фенилбутазон,None,275 ₽,https://366.ru/p/butadion-maz-d-naruzh-prim-5-20g-2779/,https://media.366.ru/sys_master/product/he4/h6c/8818127732766.jpg
Дибазол раствор 1% 1 мл ампулы 10 шт,"БИОСИНТЕЗ, РоссияБендазол",Бендазол,None,71 ₽,https://366.ru/p/dibazol-rr-v-v-v-m-1-1ml-amp-10-3948/,https://media.366.ru/sys_master/product/h0e/hd0/8818530287646.jpg
Дибазол таблетки 20 мг 10 шт,"МОСКОВСКАЯ ФФ, РоссияБендазол",Бендазол,None,75 ₽,https://366.ru/p/dibazol-tab-20mg-10-3957/,https://media.366.ru/sys_master/product/h54/h61/8817735630878.jpg
Дикловит гель для наружного применения 1% туба 20 г,"НИЖФАРМ, РоссияДиклофенак",Диклофенак,None,157 ₽,https://366.ru/p/diklovit-gel-d-naruzh-prim-1-20g-3980/,https://media.366.ru/sys_master/product/h15/h7c/9616188538910.jpg
Дикловит суппозитории ректальные 0.05 г 10 шт,"НИЖФАРМ, РоссияДиклофенак",Диклофенак,None,174 ₽,https://366.ru/p/diklovit-supp-rekt-50mg-10-3981/,https://media.366.ru/sys_master/product/h84/h51/9616021159966.jpg
Диклоран Плюс гель для наружного применения 30 г,"Johnson & Johnson, ИндияДиклофенак",Диклофенак,None,353 ₽,https://366.ru/p/dikloran-pljus-gel-d-naruzh-prim-1-30g-3991/,https://media.366.ru/sys_master/product/h39/ha8/9804212535326.jpg
Диклофенак Акрихин мазь 1% 30 г,"АКРИХИН, РоссияДиклофенак",Диклофенак,None,162 ₽,https://366.ru/p/diklofenakakrikhin-maz-d-nar-prim-130g-3992/,https://media.366.ru/sys_master/product/h37/hbe/8816515317790.jpg
