Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Карведилол Верте таблетки 25 мг 30 шт,"ВЕРТЕКС, РоссияКарведилол",Карведилол,None,376 ₽,https://366.ru/p/karvedilolverte-tabl-25mg-n30-31206/,https://media.366.ru/sys_master/product/hb7/h46/8816177152030.jpg
Валсартан таблетки 80 мг 30 шт,"ВЕРТЕКС, Россия",None,None,366 ₽,https://366.ru/p/valsartan-tabl-p-pl-ob-80mg-30-209287/,https://media.366.ru/sys_master/product/hd0/ha7/9708252102686.jpg
Валсартан таблетки 160 мг 30 шт,"ВЕРТЕКС, Россия",None,None,530 ₽,https://366.ru/p/valsartan-tabl-p-pl-ob-160mg-30-209286/,https://media.366.ru/sys_master/product/h18/h59/9708251643934.jpg
Тримектал МВ таблетки 35 мг 120 шт,"ВЕРТЕКС, РоссияТриметазидин",Триметазидин,None,801 ₽,https://366.ru/p/trimektal-mv-tab-p-pl-ob-35mg-120-34658/,https://media.366.ru/sys_master/product/h2d/h11/8816296558622.jpg
"Карведилол Верте таблетки 12,5 мг 30 шт","ВЕРТЕКС, РоссияКарведилол",Карведилол,None,307 ₽,https://366.ru/p/karvedilolverte-tabl-12-5mg-n30-31205/,https://media.366.ru/sys_master/product/hfb/h3a/8816176660510.jpg
Лозартан-Вертекс таблетки 50 мг 90 шт,"ВЕРТЕКС, Россия",None,None,434 ₽,https://366.ru/p/lozartanverteks-tabl-p-o-50mg-90-209289/,https://media.366.ru/sys_master/product/h56/h8c/9708253020190.jpg
Лозартан-Вертекс таблетки 25 мг 30 шт,"ВЕРТЕКС, РоссияЛозартан",Лозартан,None,170 ₽,https://366.ru/p/lozartan-verteks-tabl-p-o-25mg-30-205344/,https://media.366.ru/sys_master/product/h98/h53/9316505813022.jpg
Лизиноприл-Вертекс таблетки 10 мг 30 шт,"ВЕРТЕКС, РоссияЛизиноприл",Лизиноприл,None,133 ₽,https://366.ru/p/lizinoprilverteks-tab-10mg-30-207131/,https://media.366.ru/sys_master/product/hfa/h52/9429254537246.jpg
"Лозартан Вертекс таблетки покрытые оболочкой 12,5мг N30","ВЕРТЕКС, РоссияЛозартан",Лозартан,None,106 ₽,https://366.ru/p/lozartanverte-tab-p-o-12-5mg-30-57494/,https://media.366.ru/sys_master/product/h99/h29/8818411470878.jpg
Лозартан Вертекс таблетки 100 мг 30 шт,"ВЕРТЕКС, РоссияЛозартан",Лозартан,None,283 ₽,https://366.ru/p/lozartanverte-tab-p-o-100mg-30-45766/,https://media.366.ru/sys_master/product/h67/h96/8817872338974.jpg
