Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Мята перечная настойка 25 мл,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияМяты перечной листья",Мяты перечной листья,None,34 ₽,https://366.ru/p/mjaty-perechnoj-nka-25ml-38110/,https://media.366.ru/sys_master/product/hef/hb6/8819700138014.jpg
"Вита Верде мята перечная фильтр пакетики 1,5 г 20 шт","Грин Сайд, Россия",None,None,69 ₽,https://366.ru/p/vita-verde-mjata-perechnaja-f-p-1-5g20-211298/,https://media.366.ru/sys_master/product/h11/h69/9900783599646.png
Вита Верде ромашка цветки 50 г,"Грин Сайд, Россия",None,None,76 ₽,https://366.ru/p/vita-verde-romashka-cvetki-50g-211289/,https://media.366.ru/sys_master/product/hba/ha1/9900782223390.png
"Вита Верде ромашка цветки фильтр пакетики 1,5 г 20 шт","Грин Сайд, Россия",None,None,74 ₽,https://366.ru/p/vita-verde-romashka-cvetki-f-p-1-5g20-211285/,https://media.366.ru/sys_master/product/h40/h86/9900781305886.png
Беллалгин таблетки 10 шт,"ТАТХИМФАРМПРЕПАРАТЫ, РоссияБелладонны листьев экстракт + Бензокаин + Метамизол натрия + Натрия гидрокарбонат",Белладонны листьев экстракт + Бензокаин + Метамизол натрия + Натрия гидрокарбонат,None,107 ₽,https://366.ru/p/bellalgin-tab-10-2261/,https://media.366.ru/sys_master/product/hfa/h6d/8820209549342.jpg
Белластезин таблетки 10 шт,"ТАТХИМФАРМПРЕПАРАТЫ, РоссияБелладонны листьев экстракт + Бензокаин",Белладонны листьев экстракт + Бензокаин,None,111 ₽,https://366.ru/p/bellastezin-tab-10-2266/,https://media.366.ru/sys_master/product/h5e/h26/8820853342238.jpg
Брал таблетки 100 шт,"МИКРО ЛАБС, ИндияМетамизол натрия + Питофенон + Фенпивериния бромид",Метамизол натрия + Питофенон + Фенпивериния бромид,None,466 ₽,https://366.ru/p/bral-tab-100-2649/,https://media.366.ru/sys_master/product/h82/h75/8818561024030.jpg
Брал таблетки 20 шт,"МИКРО ЛАБС, ИндияМетамизол натрия + Питофенон + Фенпивериния бромид",Метамизол натрия + Питофенон + Фенпивериния бромид,None,169 ₽,https://366.ru/p/bral-tab-20-2650/,https://media.366.ru/sys_master/product/h1a/h4f/8816097493022.jpg
Зеленина капли 25 мл,"Тверская ФФ, РоссияБелладонны настойка + Валерианы лекарственной корневищ с корнями настойка + Ландыша травы настойка + [Рацементол]",Белладонны настойка + Валерианы лекарственной корневищ с корнями настойка + Ландыша травы настойка + [Рацементол],None,159 ₽,https://366.ru/p/zelenina-kapli-25ml-4430/,https://media.366.ru/sys_master/product/ha7/h3c/8820548075550.jpg
Мидокалм таблетки 150 мг 30 шт,"Гедеон Рихтер, РоссияТолперизон",Толперизон,None,562 ₽,https://366.ru/p/midokalm-tab-p-pl-ob-150mg-30-6345/,https://media.366.ru/sys_master/product/had/hbf/8820922482718.jpg
Мидокалм таблетки 50 мг 30 шт,"Гедеон Рихтер, РоссияТолперизон",Толперизон,None,507 ₽,https://366.ru/p/midokalm-tab-p-pl-ob-50mg-30-6347/,https://media.366.ru/sys_master/product/h2a/hc9/8818769592350.jpg
Но-шпа раствор ампулы 2 мл 5 шт,"САНОФИ, ВенгрияДротаверин",Дротаверин,None,110 ₽,https://366.ru/p/noshpa-rr-v-v-v-m-20mg-ml-2ml-amp-5-7036/,https://media.366.ru/sys_master/product/ha4/h32/8817317740574.jpg
Но-шпа таблетки 40 мг 100 шт,"САНОФИ, ВенгрияДротаверин",Дротаверин,None,243 ₽,https://366.ru/p/noshpa-tab-40mg-100-7037/,https://media.366.ru/sys_master/product/h60/h3e/8817318232094.jpg
Папаверина гидрохлорид раствор для инъекций ампулы 2% 2 мл 10 шт,"БИОТЭК, РоссияПапаверин",Папаверин,None,94 ₽,https://366.ru/p/papaverina-g-kh-rr-d-in-2-2ml-amp-10-7488/,https://media.366.ru/sys_master/product/h04/h6d/8818287378462.jpg
Папаверина гидрохлорид суппозитории 20 мг 10 шт,"БИОТЭК, РоссияПапаверин",Папаверин,None,91 ₽,https://366.ru/p/papaverina-g-kh-supp-rekt-20mg-10-7489/,https://media.366.ru/sys_master/product/hfd/he8/8826848739358.jpg
Папаверина гидрохлорид суппозитории ректальные 20 мг 10 шт,"ДАЛЬХИМФАРМ, РоссияПапаверин",Папаверин,None,66 ₽,https://366.ru/p/papaverina-g-kh-supp-rekt-20mg-10-7490/,https://media.366.ru/sys_master/product/h05/h1a/8820268695582.jpg
Папазол таблетки 10 шт,"Фармстандарт+, РоссияБендазола гидрохлорид + Папаверин гидрохлорид",Бендазола гидрохлорид + Папаверин гидрохлорид,None,"20,50 ₽",https://366.ru/p/papazol-tab-10-7498/,https://media.366.ru/sys_master/product/h03/hc4/9928110211102.jpg
Ревалгин таблетки 20 шт,"ШРЕЯ, ИндияМетамизол натрия + Питофенон + Фенпивериния бромид",Метамизол натрия + Питофенон + Фенпивериния бромид,None,199 ₽,https://366.ru/p/revalgin-tab-20-8855/,https://media.366.ru/sys_master/product/hda/hcf/8817352736798.jpg
