Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Гонадотропин хорионический для инъекций флаконы 1000 ед 5 шт,"МЭЗ, РоссияГонадотропин хорионический",Гонадотропин хорионический,None,754 ₽,https://366.ru/p/gonadotropin-khor-1000ed-5-rl-3727/,https://media.366.ru/sys_master/product/hd1/hbd/8818214895646.jpg
Гидрокортизон-Рихтер суспензия для инъекций 125 мг 5 мл,"Гедеон Рихтер, ВенгрияГидрокортизон",Гидрокортизон,None,348 ₽,https://366.ru/p/gidrokortizonrikh-sus-v-s-25mg-5mg-ml5ml-3539/,https://media.366.ru/sys_master/product/h5e/h9f/8819743359006.jpg
Дексаметазон раствор для внутривенного и внутримышечного введения 4 мг ампулы 1 мл 25 шт,"ЭЛЬФА, Китайская Народная РеспубликаДексаметазон",Дексаметазон,None,347 ₽,https://366.ru/p/deksametazon-rr-d-in-4mg-ml-1ml-amp-25-3881/,https://media.366.ru/sys_master/product/h0b/h11/9955471163422.jpg
"Дивигель гель трансдермальный 0,1% 500 мг 28 шт","Orion, ФинляндияЭстрадиол",Эстрадиол,None,904 ₽,https://366.ru/p/divigel-gel-d-naruzh-prim-0-1-0-5g-28-3961/,https://media.366.ru/sys_master/product/ha3/h57/8818082545694.jpg
"Дивигель гель трансдермальный 0,1% пакетик 1 г 28 шт","Orion, ФинляндияЭстрадиол",Эстрадиол,None,1 262 ₽,https://366.ru/p/divigel-gel-d-naruzh-prim-0-1-1g-28-3962/,https://media.366.ru/sys_master/product/h0d/h71/8818082775070.jpg
Дипроспан раствор для инъекций ампулы 1 мл 1 шт,МСД ФАРМАСЬЮТИКАЛСБетаметазон,Бетаметазон,None,682 ₽,https://366.ru/p/diprospan-susp-d-in-2mg-5mg-ml-1ml-amp1-4085/,https://media.366.ru/sys_master/product/h47/h57/8820603715614.jpg
Йодомарин 200 таблетки 200 мкг 100 шт,"Berlin-Chemie, ГерманияКалия йодид",Калия йодид,None,248 ₽,https://366.ru/p/jodomarin200-tab-0-2mg-100-4696/,https://media.366.ru/sys_master/product/h76/h15/8817877614622.jpg
Йодомарин100 таблетки 100 мкг 100 шт,"Berlin-Chemie, ГерманияКалия йодид",Калия йодид,None,156 ₽,https://366.ru/p/jodomarin100-tab-0-1mg-100-4695/,https://media.366.ru/sys_master/product/he6/h0a/8816887922718.jpg
Йодомарин 200 таблетки 200 мкг 50 шт,"Berlin-Chemie, ГерманияКалия йодид",Калия йодид,None,151 ₽,https://366.ru/p/jodomarin200-tab-0-2mg-50-4697/,https://media.366.ru/sys_master/product/h8c/h7d/8818345181214.jpg
Кеналог 40 суспензия 40 мг/мл 1 мл 5 шт,"KRKA, ИталияТриамцинолон",Триамцинолон,None,889 ₽,https://366.ru/p/kenalog-susp-d-in-40mg-ml-1ml-amp-5-4998/,https://media.366.ru/sys_master/product/h40/h84/8901577375774.jpg
Кортизона ацетат таблетки 25мг N80,"АКРИХИН, РоссияКортизон",Кортизон,None,1 332 ₽,https://366.ru/p/kortizona-acetat-tab-25mg-80-5362/,https://media.366.ru/sys_master/product/haf/hbb/8817055629342.jpg
Кортинефф таблетки 20 шт,"ПОЛЬФА, ПольшаФлудрокортизон",Флудрокортизон,None,138 ₽,https://366.ru/p/kortineff-tab-100mkg-20-5363/,https://media.366.ru/sys_master/product/h7b/h74/8826511556638.jpg
Л-тироксин таблетки 100мкг N100 Берлин-Хеми,"Berlin-Chemie, ГерманияЛевотироксин натрия",Левотироксин натрия,None,167 ₽,https://366.ru/p/ltiroksin-100-tab-100mkg-100-5622/,https://media.366.ru/sys_master/product/h4e/h4e/8818345639966.jpg
Метипред таблетки 4 мг 30 шт,"Orion, ФинляндияМетилпреднизолон",Метилпреднизолон,None,372 ₽,https://366.ru/p/metipred-tab-4mg-30-6297/,https://media.366.ru/sys_master/product/hb8/hb7/8820563279902.jpg
Норколут таблетки 20 шт,"Гедеон Рихтер, ВенгрияНорэтистерон",Норэтистерон,None,146 ₽,https://366.ru/p/norkolut-tab-5mg-20-7119/,https://media.366.ru/sys_master/product/h16/hac/8817321541662.jpg
"Оксипрогестерона капронат раствор 12,5% 1 мл 10 шт","ДАЛЬХИМФАРМ, РоссияГидроксипрогестерона капроат",Гидроксипрогестерона капроат,None,1 223 ₽,https://366.ru/p/oksiprogesterona-kapr-12-5-1ml-10-7218/,https://media.366.ru/sys_master/product/hc2/h38/8818485788702.jpg
Полькортолон таблетки 4 мг 50 шт,"ПОЛЬФА, ПольшаТриамцинолон",Триамцинолон,None,511 ₽,https://366.ru/p/polkortolon-tab-4mg-50-8121/,https://media.366.ru/sys_master/product/hbd/h1f/8818085298206.jpg
Сегидрин таблетки 60 мг 50 шт,"ФАРМАСИНТЕЗ, РоссияГидразина сульфат",Гидразина сульфат,None,3 901 ₽,https://366.ru/p/segidrin-tab-p-o-60mg-50-9259/,https://media.366.ru/sys_master/product/hb1/h14/8818307104798.jpg
Дексаметазон таблетки 10 шт,"KRKA, СловенияДексаметазон",Дексаметазон,None,46 ₽,https://366.ru/p/deksametazon-tab-0-5mg-10-13114/,https://media.366.ru/sys_master/product/h91/hec/8818123374622.jpg
Холоксан порошок для инфузий 2 г 1 шт,"БАКСТЕР ОНКОЛОГИ, ГерманияИфосфамид",Ифосфамид,None,2 672 ₽,https://366.ru/p/kholoksan-por-d-inf-2g-1-13671/,https://media.366.ru/sys_master/product/h62/h75/8818678300702.jpg
Эутирокс таблетки 125 мкг 100 шт,"МЕРК, ГерманияЛевотироксин натрия",Левотироксин натрия,None,171 ₽,https://366.ru/p/eutiroks-tab-125mkg-100-19161/,https://media.366.ru/sys_master/product/h3a/hc0/8825439289374.jpg
Эутирокс таблетки 150 мкг 100 шт,"МЕРК, ГерманияЛевотироксин натрия",Левотироксин натрия,None,173 ₽,https://366.ru/p/eutiroks-tab-150mkg-100-19162/,https://media.366.ru/sys_master/product/h5f/h6b/8825439780894.jpg
Тирозол таблетки 10 мг 50 шт,"МЕРК, ГерманияТиамазол",Тиамазол,None,365 ₽,https://366.ru/p/tirozol-tab-p-pl-ob-10mg-50-22282/,https://media.366.ru/sys_master/product/h3a/h6a/8817491181598.jpg
Эутирокс таблетки 25 мкг 100 шт,"МЕРК, ГерманияЛевотироксин натрия",Левотироксин натрия,None,101 ₽,https://366.ru/p/eutiroks-tab-25mkg-100-22284/,https://media.366.ru/sys_master/product/hdf/h2a/8817491673118.jpg
Тирозол таблетки 5 мг 50 шт,"МЕРК, ГерманияТиамазол",Тиамазол,None,185 ₽,https://366.ru/p/tirozol-tab-p-pl-ob-5mg-50-22287/,https://media.366.ru/sys_master/product/h8e/ha3/8816020389918.jpg
Эутирокс таблетки 50 мкг 100 шт,"МЕРК, ГерманияЛевотироксин натрия",Левотироксин натрия,None,129 ₽,https://366.ru/p/eutiroks-tab-50mkg-100-22846/,https://media.366.ru/sys_master/product/heb/h03/8816033169438.jpg
Эутирокс таблетки 75 мкг 100 шт,"МЕРК, ГерманияЛевотироксин натрия",Левотироксин натрия,None,129 ₽,https://366.ru/p/eutiroks-tab-75mkg-100-22844/,https://media.366.ru/sys_master/product/h9a/h66/8816032186398.jpg
"Сандостатин раствор 0,1 мг/мл 1 мл ампулы 5 шт","НОВАРТИС ФАРМА, ШвейцарияОктреотид",Октреотид,None,1 933 ₽,https://366.ru/p/sandostatin-rr-v-v-p-k-0-1mg-ml-1ml-5-23160/,https://media.366.ru/sys_master/product/ha4/h9d/8818500468766.jpg
"Пурегон лиофилизат для инъекций 600 МЕ/0,72 мл","МСД ФАРМАСЬЮТИКАЛС, НидерландыФоллитропин бета",Фоллитропин бета,None,12 836 ₽,https://366.ru/p/puregon-rr-dlja-p-k-600me-0-72ml1kartr-23206/,https://media.366.ru/sys_master/product/had/h9a/9116576710686.jpg
Паклитаксел Эбеве концентрат 6 мг/мл 50 мл флакон 1 шт,"САНДОЗ, АвстрияПаклитаксел",Паклитаксел,None,4 965 ₽,https://366.ru/p/paklitakselebeve-konc-6mg-ml-50ml-1fl-25329/,https://media.366.ru/sys_master/product/h66/he3/8854112436254.jpg
Паклитаксел-Эбеве концентрат 6 мг/мл 5 мл флакон 1 шт,"САНДОЗ, АвстрияПаклитаксел",Паклитаксел,None,704 ₽,https://366.ru/p/paklitakselebeve-konc-6mg-ml-5ml-1fl-25331/,https://media.366.ru/sys_master/product/h8d/h9d/8818554601502.jpg
Л-тироксин Берлин-Хеми таблетки 75 мкг 100 шт,"Berlin-Chemie, ГерманияЛевотироксин натрия",Левотироксин натрия,None,150 ₽,https://366.ru/p/ltiroksin-75-tab-75mkg-100-27614/,https://media.366.ru/sys_master/product/h7a/h87/8816122101790.jpg
Л-тироксин Берлин-Хеми таблетки 125 мкг 100 шт,"Berlin-Chemie, ГерманияЛевотироксин натрия",Левотироксин натрия,None,196 ₽,https://366.ru/p/ltiroksin-125-tab-125mkg-100-27615/,https://media.366.ru/sys_master/product/h9b/h73/8816122593310.jpg
Л-тироксин Берлин-Хеми таблетки 150 мкг 100 шт,"Berlin-Chemie, ГерманияЛевотироксин натрия",Левотироксин натрия,None,194 ₽,https://366.ru/p/ltiroksin-150-tab-150mkg-100-27616/,https://media.366.ru/sys_master/product/h6e/h2e/8816123084830.jpg
Ципротерон Тева таблетки 50 мг 50 шт,"ТЕВА, ЧехияЦипротерон",Ципротерон,None,1 989 ₽,https://366.ru/p/ciproteronteva-tab-50mg-50-28618/,https://media.366.ru/sys_master/product/h25/hf0/8818681741342.jpg
Цитозар лиофилизат для ин 500мг флакон N1+р-ль,"Пфайзер+, ИталияЦитарабин",Цитарабин,None,631 ₽,https://366.ru/p/citozar-liof-d-in-500mg-fl-1-rl-34359/,https://media.366.ru/sys_master/product/h85/h11/8818546573342.jpg
Фемостон конти 1/5 таблетки 28 шт,"Abbott Laboratories EPD, НидерландыДидрогестерон + Эстрадиол",Дидрогестерон + Эстрадиол,None,1 275 ₽,https://366.ru/p/femoston-1-5-konti-tab-p-pl-ob-28-34840/,https://media.366.ru/sys_master/product/hb5/hac/8816313729054.jpg
Фемостон таблетки 1/10 28 шт,"Abbott Laboratories EPD, НидерландыДидрогестерон + Эстрадиол",Дидрогестерон + Эстрадиол,None,1 274 ₽,https://366.ru/p/femoston-tab-p-pl-ob-1-10mg-28-34994/,https://media.366.ru/sys_master/product/h94/hdc/8816322805790.jpg
Фемостон таблетки 2/10 28 шт,"Abbott Laboratories EPD, НидерландыДидрогестерон + Эстрадиол",Дидрогестерон + Эстрадиол,None,1 284 ₽,https://366.ru/p/femoston-tab-p-pl-ob-2-10mg-28-34995/,https://media.366.ru/sys_master/product/hc1/hdc/8816323297310.jpg
Минирин таблетки 100 мкг 30 шт,"Фармстандарт+, РоссияДесмопрессин",Десмопрессин,None,1 489 ₽,https://366.ru/p/minirin-tab-0-1mg-30-35642/,https://media.366.ru/sys_master/product/h30/h5c/8820590379038.jpg
Энбрел лиофилизат для приготовления раствора для подкожного введения 25 мг флаконы 4 шт,"Пфайзер+, ГерманияЭтанерцепт",Этанерцепт,None,27 359 ₽,https://366.ru/p/enbrel-liof-d-prig-rra-p-k-25mg-fl-4-36379/,https://media.366.ru/sys_master/product/haa/hb2/8818211913758.jpg
Л-тироксин Берлин-Хеми таблетки 50 мкг 50 шт,"Berlin-Chemie, ГерманияЛевотироксин натрия",Левотироксин натрия,None,108 ₽,https://366.ru/p/ltiroksin-50-tab-50mkg-50-36585/,https://media.366.ru/sys_master/product/h81/h31/8818212601886.jpg
Октреотид раствор для инъекций 50 мкг/мл ампулы 10 шт,"НАТИВА, РоссияОктреотид",Октреотид,None,2 637 ₽,https://366.ru/p/oktreotid-fsintez-rr-v-v-p-k-50mkg-10-36805/,https://media.366.ru/sys_master/product/ha8/h01/8818511249438.jpg
Этопозид-Тева концентрат для инфузий 20мг/мл 10мл,"ТЕВА, НидерландыЭтопозид",Этопозид,None,824 ₽,https://366.ru/p/etopozidteva-konc-d-inf-20mg-ml-10ml-36956/,https://media.366.ru/sys_master/product/h2e/h81/8818518360094.jpg
